protocol	case	input	delivered	failed_or_blocked	duration_ms	result
stream-line	slow_reader_backpressure	2000	2000	0	145.494	pass
stream-framed	slow_reader_backpressure	2000	2000	0	90.564	pass
datagram-line	slow_reader_backpressure	2000	2000	0	1737.437	pass
stream-line	application_connection_limit_recovery	32	1	13	0.000	pass
stream-line	system_fd_exhaustion	256	65	191	13.635	pass
datagram-line	fd_model_no_per_producer_accept	256	256	0	4.540	pass
