protocol	producers	payload_bytes	messages	repetition	delivered	dropped_or_failed	wall_ms	msg_per_second	p50_us	p95_us	p99_us	cpu_ms	go_runtime_sys_kib	rss_kib	result
stream-line	1	64	2000	1	2000	0	7.581	263810.0	7.930	27.564	141.321	15.873	12630	6004	pass
stream-line	1	64	2000	2	2000	0	6.421	311476.3	5.576	56.531	219.127	13.773	12630	6772	pass
stream-line	1	64	2000	3	2000	0	6.224	321347.0	5.190	21.425	100.144	12.715	12630	7540	pass
stream-line	1	1024	2000	1	2000	0	9.778	204538.4	6.685	221.646	824.409	19.799	12630	8948	pass
stream-line	1	1024	2000	2	2000	0	9.290	215296.7	6.529	101.150	359.928	19.673	12630	10468	pass
stream-line	1	1024	2000	3	2000	0	8.057	248222.3	6.647	28.196	87.228	18.874	12630	10812	pass
stream-line	1	8192	500	1	500	0	8.821	56683.8	58.576	417.032	915.854	16.445	12886	10548	pass
stream-line	1	8192	500	2	500	0	10.136	49330.0	35.478	263.985	370.208	22.344	12886	9800	pass
stream-line	1	8192	500	3	500	0	8.354	59849.7	63.622	259.336	475.562	20.709	16982	10352	pass
stream-line	8	64	16000	1	16000	0	18.604	860027.6	567.989	4307.845	9635.995	122.857	17750	10652	pass
stream-line	8	64	16000	2	16000	0	19.267	830456.1	478.004	5271.983	6816.384	121.127	17750	10696	pass
stream-line	8	64	16000	3	16000	0	18.378	870597.2	395.960	3520.302	6022.567	111.906	17750	11068	pass
stream-line	8	1024	16000	1	16000	0	68.912	232179.9	370.402	5692.743	8432.264	217.771	17750	10340	pass
stream-line	8	1024	16000	2	16000	0	65.508	244243.4	114.382	5606.198	8015.285	234.061	17750	10708	pass
stream-line	8	1024	16000	3	16000	0	68.233	234489.6	111.822	5398.656	10021.161	232.765	17750	10196	pass
stream-line	8	8192	4000	1	4000	0	98.982	40411.4	677.247	8989.707	12895.750	206.011	17750	9884	pass
stream-line	8	8192	4000	2	4000	0	99.990	40003.9	510.687	8289.586	14517.367	195.827	17750	11420	pass
stream-line	8	8192	4000	3	4000	0	89.139	44873.9	653.512	7670.767	15762.780	214.073	17750	11964	pass
stream-line	32	64	64000	1	64000	0	90.691	705690.5	606.628	38486.329	52072.483	485.364	17750	10540	pass
stream-line	32	64	64000	2	64000	0	75.477	847945.9	565.696	25452.288	47576.959	473.021	17750	10420	pass
stream-line	32	64	64000	3	64000	0	77.553	825247.1	673.655	20614.372	29112.033	475.255	17750	11264	pass
stream-line	32	1024	64000	1	64000	0	199.262	321184.6	199.191	17425.702	29389.496	871.768	21846	10432	pass
stream-line	32	1024	64000	2	64000	0	257.640	248408.8	187.445	26448.311	48255.824	1155.308	21846	9708	pass
stream-line	32	1024	64000	3	64000	0	205.510	311419.8	161.933	18445.167	32769.070	905.332	21846	9328	pass
stream-line	32	8192	16000	1	16000	0	329.476	48562.0	549.133	29000.373	48529.523	948.119	25942	12940	pass
stream-line	32	8192	16000	2	16000	0	390.993	40921.4	545.710	40527.407	81909.579	1261.464	25942	13756	pass
stream-line	32	8192	16000	3	16000	0	291.911	54811.3	356.112	30408.785	47329.386	812.216	25942	13132	pass
stream-framed	1	64	2000	1	2000	0	10.785	185442.6	667.662	1134.976	1192.263	17.965	25942	13132	pass
stream-framed	1	64	2000	2	2000	0	9.663	206973.4	616.301	1087.751	1165.698	17.589	25942	13132	pass
stream-framed	1	64	2000	3	2000	0	12.657	158020.9	719.694	2502.291	2662.708	22.167	25942	9976	pass
stream-framed	1	1024	2000	1	2000	0	15.504	128999.3	354.374	1064.724	1285.646	29.337	25942	10744	pass
stream-framed	1	1024	2000	2	2000	0	16.481	121352.7	414.660	820.357	1012.773	33.601	25942	10520	pass
stream-framed	1	1024	2000	3	2000	0	15.524	128835.6	250.999	643.584	929.216	33.990	25942	10852	pass
stream-framed	1	8192	500	1	500	0	11.584	43164.1	195.214	531.565	664.667	20.234	25942	11608	pass
stream-framed	1	8192	500	2	500	0	13.523	36974.8	191.788	637.834	1188.063	28.743	25942	11324	pass
stream-framed	1	8192	500	3	500	0	12.150	41151.1	354.290	756.298	976.291	30.190	25942	11720	pass
stream-framed	8	64	16000	1	16000	0	32.579	491116.5	1414.680	5561.578	10702.752	212.331	25942	10616	pass
stream-framed	8	64	16000	2	16000	0	34.122	468899.3	1452.166	4276.888	5228.356	207.770	25942	9844	pass
stream-framed	8	64	16000	3	16000	0	30.863	518412.2	1372.271	5098.932	8618.845	196.894	25942	10388	pass
stream-framed	8	1024	16000	1	16000	0	84.362	189659.1	1012.150	6253.061	9840.081	342.194	25942	9996	pass
stream-framed	8	1024	16000	2	16000	0	84.813	188650.1	1009.303	5182.608	9045.718	342.544	25942	10268	pass
stream-framed	8	1024	16000	3	16000	0	92.884	172257.1	1103.296	6173.921	8387.461	337.963	25942	10104	pass
stream-framed	8	8192	4000	1	4000	0	125.005	31998.7	1316.483	9254.619	15544.848	262.734	25942	11032	pass
stream-framed	8	8192	4000	2	4000	0	121.894	32815.3	1022.260	10564.554	15218.157	271.871	25942	12892	pass
stream-framed	8	8192	4000	3	4000	0	120.581	33172.7	1310.669	10787.668	15150.777	258.291	25942	10644	pass
stream-framed	32	64	64000	1	64000	0	116.067	551406.2	1884.480	28064.201	61072.042	798.250	25942	11364	pass
stream-framed	32	64	64000	2	64000	0	118.516	540011.6	1800.875	45170.212	53875.585	812.664	25942	10872	pass
stream-framed	32	64	64000	3	64000	0	118.721	539079.7	2068.417	31713.870	49232.961	798.047	25942	11204	pass
stream-framed	32	1024	64000	1	64000	0	393.009	162846.0	1234.420	31214.479	52155.496	1384.444	25942	11356	pass
stream-framed	32	1024	64000	2	64000	0	381.054	167955.3	1274.175	31099.461	49559.983	1395.514	25942	10976	pass
stream-framed	32	1024	64000	3	64000	0	382.535	167305.0	1419.998	31506.694	50768.669	1409.866	25942	10012	pass
stream-framed	32	8192	16000	1	16000	0	1006.595	15895.2	11967.086	78629.561	123857.616	2872.721	25942	11372	pass
stream-framed	32	8192	16000	2	16000	0	827.687	19331.0	12516.089	62942.012	102700.184	2032.440	25942	11916	pass
stream-framed	32	8192	16000	3	16000	0	781.941	20461.9	11304.139	60387.519	90473.577	1805.055	25942	11760	pass
datagram-line	1	64	2000	1	2000	0	8.255	242264.0	19.511	45.588	58.171	16.524	25942	11760	pass
datagram-line	1	64	2000	2	2000	0	11.712	170767.0	11.368	49.222	197.173	27.171	25942	10576	pass
datagram-line	1	64	2000	3	2000	0	9.395	212888.3	11.690	26.510	37.188	19.421	25942	10576	pass
datagram-line	1	1024	2000	1	2000	0	16.305	122658.4	14.836	74.331	310.195	36.245	25942	10044	pass
datagram-line	1	1024	2000	2	2000	0	15.425	129656.3	28.308	131.469	302.854	32.156	25942	10660	pass
datagram-line	1	1024	2000	3	2000	0	15.881	125936.4	13.753	40.950	100.388	31.776	25942	10596	pass
datagram-line	1	8192	500	1	500	0	12.218	40922.4	95.019	494.040	668.344	27.952	25942	10336	pass
datagram-line	1	8192	500	2	500	0	13.886	36007.5	62.056	373.702	601.669	32.191	25942	10412	pass
datagram-line	1	8192	500	3	500	0	12.851	38907.5	53.493	344.790	1891.208	23.544	25942	9996	pass
datagram-line	8	64	16000	1	16000	0	111.702	143237.8	81.991	326.624	592.043	554.348	25942	10328	pass
datagram-line	8	64	16000	2	16000	0	90.646	176511.0	61.889	249.961	453.441	429.106	25942	10436	pass
datagram-line	8	64	16000	3	16000	0	87.806	182220.8	62.774	240.992	403.348	433.287	25942	10276	pass
datagram-line	8	1024	16000	1	16000	0	122.820	130271.5	80.926	373.047	727.540	557.200	25942	11476	pass
datagram-line	8	1024	16000	2	16000	0	122.845	130245.1	77.450	358.524	841.563	543.263	25942	10804	pass
datagram-line	8	1024	16000	3	16000	0	127.645	125347.2	84.454	388.985	887.753	575.097	25942	10628	pass
datagram-line	8	8192	4000	1	4000	0	111.568	35852.6	332.375	1373.487	2235.513	368.074	25942	10592	pass
datagram-line	8	8192	4000	2	4000	0	107.156	37328.7	336.781	1413.176	1855.837	341.891	25942	10812	pass
datagram-line	8	8192	4000	3	4000	0	120.056	33317.7	379.180	1528.988	2306.173	378.424	25942	11684	pass
datagram-line	32	64	64000	1	64000	0	379.720	168545.4	84.154	905.916	1489.959	2205.324	25942	10864	pass
datagram-line	32	64	64000	2	64000	0	392.175	163192.4	79.664	968.073	1784.417	2187.457	25942	10820	pass
datagram-line	32	64	64000	3	64000	0	507.067	126216.1	72.189	1148.223	3357.449	2404.205	25942	11304	pass
datagram-line	32	1024	64000	1	64000	0	729.454	87736.8	108.291	1921.266	4788.545	3348.857	25942	10448	pass
datagram-line	32	1024	64000	2	64000	0	559.152	114459.0	133.553	1372.453	2371.021	2873.815	25942	10496	pass
datagram-line	32	1024	64000	3	64000	0	579.328	110472.8	132.108	1460.706	2624.234	2959.976	25942	11076	pass
datagram-line	32	8192	16000	1	16000	0	483.819	33070.2	766.298	4007.437	6244.334	1759.444	25942	10260	pass
datagram-line	32	8192	16000	2	16000	0	549.021	29142.8	818.218	4652.826	7684.964	1951.358	25942	10796	pass
datagram-line	32	8192	16000	3	16000	0	504.184	31734.4	801.823	4241.101	6456.441	1795.027	25942	10268	pass
