timestamp_utc	memory_usage	cpu_percent	pids
2026-09-25T09:03:27Z	15.82MiB / 512MiB	104.94%	5
2026-09-25T09:03:28Z	24.3MiB / 512MiB	112.22%	5
2026-09-25T09:03:30Z	0B / 0B	0.00%	0
