experiment	assertion	expected	actual	result
E-016.4	declare_requests	accepted	accepted	pass
E-016.4	declare_temperature	accepted	accepted	pass
E-016.4	declare_latency_seconds	accepted	accepted	pass
E-016.1	counter_add_0	accepted	accepted	pass
E-016.1	counter_add_1	accepted	accepted	pass
E-016.1	counter_add_2.5	accepted	accepted	pass
E-016.1	counter_exact	3.5	3.5	pass
E-016.1	counter_reject_neg_inf	reject_unchanged	invalid_counter	pass
E-016.1	counter_reject_negative	reject_unchanged	invalid_counter	pass
E-016.1	counter_reject_nan	reject_unchanged	invalid_counter	pass
E-016.1	counter_reject_pos_inf	reject_unchanged	invalid_counter	pass
E-016.1	absolute_repeat	accepted	accepted	pass
E-016.1	absolute_increase	accepted	accepted	pass
E-016.1	absolute_decrease	reject_unchanged	counter_decrease	pass
E-016.1	explicit_initialization	accepted	accepted	pass
E-016.1	reinitialize	reject_unchanged	already_initialized	pass
E-016.1	same_epoch_reset	reject_unchanged	unsupported_operation	pass
E-016.1	counter_overflow	reject_unchanged	overflow	pass
E-016.1	new_epoch_empty	0	0	pass
E-016.2	gauge_set_zero	accepted	accepted	pass
E-016.2	gauge_set_positive	accepted	accepted	pass
E-016.2	gauge_set_negative	accepted	accepted	pass
E-016.2	gauge_set_nan	accepted	accepted	pass
E-016.2	gauge_set_pos_inf	accepted	accepted	pass
E-016.2	gauge_set_neg_inf	accepted	accepted	pass
E-016.2	gauge_add_sub	8	8	pass
E-016.2	gauge_invalid_delta	reject_unchanged	invalid_gauge_delta	pass
E-016.3	observe_0	accepted	accepted	pass
E-016.3	observe_0.1	accepted	accepted	pass
E-016.3	observe_0.1000001	accepted	accepted	pass
E-016.3	observe_0.5	accepted	accepted	pass
E-016.3	observe_1	accepted	accepted	pass
E-016.3	observe_+Inf	accepted	accepted	pass
E-016.3	histogram_atomic_totals	count=6,+Inf=6	count=6,+Inf=6	pass
E-016.3	observe_reject_negative	reject_unchanged	invalid_observation	pass
E-016.3	observe_reject_nan	reject_unchanged	invalid_observation	pass
E-016.3	observe_reject_neg_inf	reject_unchanged	invalid_observation	pass
E-016.4	conflict_0	reject_unchanged	descriptor_conflict	pass
E-016.4	conflict_1	reject_unchanged	descriptor_conflict	pass
E-016.4	conflict_2	reject_unchanged	descriptor_conflict	pass
E-016.4	conflict_3	reject_unchanged	derived_name_conflict	pass
E-016.4	conflict_4	reject_unchanged	derived_name_conflict	pass
E-016.4	conflict_5	reject_unchanged	invalid_or_reserved_name	pass
E-016.4	conflict_6	reject_unchanged	invalid_buckets	pass
E-016.4	conflict_7	reject_unchanged	duplicate_label	pass
E-016.5	label_order_identity	same	same	pass
E-016.5	labels_missing	reject_unchanged	label_schema	pass
E-016.5	labels_extra	reject_unchanged	label_schema	pass
E-016.5	implicit_declaration	reject_unchanged	undeclared	pass
E-016.5	series_deletion	reject_unchanged	unsupported_operation	pass
E-016.5	disconnect_no_effect	unchanged	unchanged	pass
E-016.6	invalid_batch	reject_all_unchanged	undeclared	pass
E-016.6	valid_batch	accepted_all	accepted	pass
E-016.3-signed	negative_observation_candidate	accepted	accepted	pass
E-016.3-signed	negative_sum	count=1,sum=-0.5	count=1,sum=-0.5	pass
E-016.3-signed	sum_crosses_zero_candidate	accepted	accepted	pass
E-016.3-signed	sum_after_crossing_zero	count=2,sum=0.5	count=2,sum=0.5	pass
E-016.3-signed	negative_and_positive_buckets_candidate	accepted	accepted	pass
E-016.3-signed	signed_bucket_counts	0,2,2,3	[0 2 2 3]	pass
E-016.3-signed	multiple_negative_positive_observations	accepted	accepted	pass
E-016.3-signed	signed_sum_returns_zero	count=2,sum=0	count=2,sum=0	pass
E-016.3-signed	negative_infinity_candidate	accepted	accepted	pass
E-016.3-signed	nan_candidate	rejected	invalid_observation	pass
E-016.7	empty_registry	core_zero_snapshot	{"schema_version":1,"families":[]}	pass
