candidate	publishers	operations	repetition	elapsed_ns	ops_per_second
serialized	1	10000	0	10300177	970857.10
serialized	1	10000	1	13871767	720888.69
serialized	1	10000	2	10655285	938501.41
serialized	1	10000	3	9647150	1036575.57
serialized	1	10000	4	10361560	965105.64
serialized	1	10000	5	11235478	890037.79
serialized	1	10000	6	9103820	1098440.00
serialized	1	10000	7	8323665	1201393.86
serialized	1	10000	8	9871703	1012996.44
serialized	1	10000	9	11089703	901737.40
serialized	2	20000	0	22225994	899847.27
serialized	2	20000	1	24488650	816704.88
serialized	2	20000	2	20961553	954127.78
serialized	2	20000	3	23377791	855512.82
serialized	2	20000	4	21448996	932444.58
serialized	2	20000	5	26313300	760071.90
serialized	2	20000	6	23204645	861896.40
serialized	2	20000	7	22797444	877291.33
serialized	2	20000	8	23173809	863043.27
serialized	2	20000	9	21396545	934730.35
serialized	8	80000	0	91465787	874643.98
serialized	8	80000	1	100139305	798887.11
serialized	8	80000	2	81109825	986317.01
serialized	8	80000	3	80808799	989991.20
serialized	8	80000	4	78924356	1013628.80
serialized	8	80000	5	79112780	1011214.62
serialized	8	80000	6	79159901	1010612.68
serialized	8	80000	7	80103150	998712.29
serialized	8	80000	8	79906110	1001175.00
serialized	8	80000	9	79631160	1004631.86
serialized	32	320000	0	283932676	1127027.73
serialized	32	320000	1	328957991	972768.59
serialized	32	320000	2	350385455	913279.92
serialized	32	320000	3	280392062	1141259.13
serialized	32	320000	4	280143381	1142272.21
serialized	32	320000	5	283389715	1129187.06
serialized	32	320000	6	295157169	1084168.14
serialized	32	320000	7	280274393	1141738.27
serialized	32	320000	8	282592067	1132374.32
serialized	32	320000	9	281965217	1134891.76
serialized	128	1280000	0	1361891513	939869.28
serialized	128	1280000	1	1346780027	950415.05
serialized	128	1280000	2	1329429298	962819.16
serialized	128	1280000	3	1158611910	1104770.28
serialized	128	1280000	4	1233592214	1037620.04
serialized	128	1280000	5	1159245888	1104166.09
serialized	128	1280000	6	1221005275	1048316.52
serialized	128	1280000	7	1206428547	1060982.85
serialized	128	1280000	8	1205938754	1061413.77
serialized	128	1280000	9	1153686890	1109486.47
global_mutex	1	10000	0	1549984	6451679.50
global_mutex	1	10000	1	1546139	6467723.79
global_mutex	1	10000	2	1599062	6253666.21
global_mutex	1	10000	3	1556136	6426173.55
global_mutex	1	10000	4	1723796	5801150.48
global_mutex	1	10000	5	1538313	6500627.64
global_mutex	1	10000	6	1522797	6566863.48
global_mutex	1	10000	7	1610901	6207706.12
global_mutex	1	10000	8	1537238	6505173.56
global_mutex	1	10000	9	1607975	6219002.16
global_mutex	2	20000	0	3416509	5853928.67
global_mutex	2	20000	1	4630301	4319373.62
global_mutex	2	20000	2	3861509	5179322.38
global_mutex	2	20000	3	4477622	4466656.63
global_mutex	2	20000	4	4076185	4906548.65
global_mutex	2	20000	5	4205048	4756188.28
global_mutex	2	20000	6	3521106	5680033.49
global_mutex	2	20000	7	3495825	5721110.18
global_mutex	2	20000	8	4180047	4784635.20
global_mutex	2	20000	9	3865753	5173636.29
global_mutex	8	80000	0	20977048	3813691.99
global_mutex	8	80000	1	23351463	3425909.55
global_mutex	8	80000	2	21230703	3768127.70
global_mutex	8	80000	3	15597893	5128897.86
global_mutex	8	80000	4	26749774	2990679.47
global_mutex	8	80000	5	22287463	3589461.93
global_mutex	8	80000	6	22626351	3535700.48
global_mutex	8	80000	7	21298899	3756062.70
global_mutex	8	80000	8	26173689	3056504.57
global_mutex	8	80000	9	19514223	4099573.94
global_mutex	32	320000	0	97600291	3278678.75
global_mutex	32	320000	1	102100763	3134158.75
global_mutex	32	320000	2	108624598	2945925.75
global_mutex	32	320000	3	104034614	3075899.33
global_mutex	32	320000	4	116116720	2755847.74
global_mutex	32	320000	5	99995457	3200145.38
global_mutex	32	320000	6	98954349	3233814.41
global_mutex	32	320000	7	111376509	2873137.28
global_mutex	32	320000	8	109151905	2931694.14
global_mutex	32	320000	9	107193319	2985260.68
global_mutex	128	1280000	0	491340604	2605117.49
global_mutex	128	1280000	1	490689214	2608575.78
global_mutex	128	1280000	2	435373114	2940006.99
global_mutex	128	1280000	3	442430321	2893110.94
global_mutex	128	1280000	4	458960193	2788912.89
global_mutex	128	1280000	5	446138525	2869064.04
global_mutex	128	1280000	6	445889525	2870666.23
global_mutex	128	1280000	7	444915649	2876949.83
global_mutex	128	1280000	8	449868835	2845273.78
global_mutex	128	1280000	9	391562777	3268952.20
sharded	1	10000	0	1832916	5455787.39
sharded	1	10000	1	2023831	4941124.04
sharded	1	10000	2	2022303	4944857.42
sharded	1	10000	3	2019528	4951652.07
sharded	1	10000	4	2021385	4947103.10
sharded	1	10000	5	2194410	4557033.55
sharded	1	10000	6	2037007	4909163.30
sharded	1	10000	7	2026096	4935600.29
sharded	1	10000	8	2026953	4933513.51
sharded	1	10000	9	2085020	4796117.06
sharded	2	20000	0	4150639	4818535.17
sharded	2	20000	1	5669266	3527793.55
sharded	2	20000	2	5581528	3583248.17
sharded	2	20000	3	4391230	4554532.56
sharded	2	20000	4	5175574	3864305.68
sharded	2	20000	5	5409468	3697221.24
sharded	2	20000	6	4832286	4138827.88
sharded	2	20000	7	5112165	3912236.79
sharded	2	20000	8	5451382	3668794.45
sharded	2	20000	9	9153975	2184843.20
sharded	8	80000	0	23806175	3360472.65
sharded	8	80000	1	24491086	3266494.59
sharded	8	80000	2	22403881	3570809.90
sharded	8	80000	3	22878898	3496671.91
sharded	8	80000	4	21267293	3761644.70
sharded	8	80000	5	22824983	3504931.42
sharded	8	80000	6	22116924	3617139.53
sharded	8	80000	7	21693168	3687797.01
sharded	8	80000	8	20493875	3903605.35
sharded	8	80000	9	19322895	4140166.37
sharded	32	320000	0	83645211	3825682.26
sharded	32	320000	1	86466335	3700862.31
sharded	32	320000	2	104609176	3059005.07
sharded	32	320000	3	79831382	4008448.71
sharded	32	320000	4	77749537	4115780.14
sharded	32	320000	5	75696717	4227396.02
sharded	32	320000	6	75463270	4240473.54
sharded	32	320000	7	77858598	4110014.93
sharded	32	320000	8	98909699	3235274.23
sharded	32	320000	9	92181996	3471393.70
sharded	128	1280000	0	437808470	2923652.89
sharded	128	1280000	1	469031826	2729025.90
sharded	128	1280000	2	434148501	2948299.94
sharded	128	1280000	3	407065130	3144459.95
sharded	128	1280000	4	409311585	3127201.98
sharded	128	1280000	5	396670455	3226859.94
sharded	128	1280000	6	407809804	3138718.07
sharded	128	1280000	7	402019008	3183929.05
sharded	128	1280000	8	409034612	3129319.53
sharded	128	1280000	9	404756304	3162396.70
atomic_family	1	10000	0	1346515	7426578.98
atomic_family	1	10000	1	1249691	8001978.09
atomic_family	1	10000	2	1437541	6956323.33
atomic_family	1	10000	3	1736734	5757934.15
atomic_family	1	10000	4	1751989	5707798.39
atomic_family	1	10000	5	1773260	5639330.95
atomic_family	1	10000	6	1729564	5781803.97
atomic_family	1	10000	7	1730069	5780116.28
atomic_family	1	10000	8	1740403	5745795.66
atomic_family	1	10000	9	1729167	5783131.42
atomic_family	2	20000	0	4865969	4110178.26
atomic_family	2	20000	1	4725941	4231961.42
atomic_family	2	20000	2	4424043	4520751.72
atomic_family	2	20000	3	3889829	5141614.19
atomic_family	2	20000	4	3925258	5095206.48
atomic_family	2	20000	5	4198613	4763477.84
atomic_family	2	20000	6	5525819	3619372.98
atomic_family	2	20000	7	5385364	3713769.39
atomic_family	2	20000	8	4713099	4243492.45
atomic_family	2	20000	9	5356432	3733828.79
atomic_family	8	80000	0	18288130	4374422.10
atomic_family	8	80000	1	19383574	4127205.85
atomic_family	8	80000	2	17735932	4510617.20
atomic_family	8	80000	3	17891445	4471410.78
atomic_family	8	80000	4	18383568	4351712.36
atomic_family	8	80000	5	18219083	4391000.36
atomic_family	8	80000	6	17186687	4654765.63
atomic_family	8	80000	7	17629510	4537845.92
atomic_family	8	80000	8	18204780	4394450.25
atomic_family	8	80000	9	17501617	4571006.21
atomic_family	32	320000	0	76536365	4181019.05
atomic_family	32	320000	1	75546552	4235798.88
atomic_family	32	320000	2	71673914	4464664.79
atomic_family	32	320000	3	75483337	4239346.23
atomic_family	32	320000	4	73245688	4368857.86
atomic_family	32	320000	5	78904248	4055548.44
atomic_family	32	320000	6	74102499	4318342.89
atomic_family	32	320000	7	77699448	4118433.38
atomic_family	32	320000	8	71890032	4451242.98
atomic_family	32	320000	9	74862482	4274504.28
atomic_family	128	1280000	0	337984036	3787161.12
atomic_family	128	1280000	1	336187491	3807399.25
atomic_family	128	1280000	2	298930488	4281931.93
atomic_family	128	1280000	3	296969750	4310203.31
atomic_family	128	1280000	4	291516233	4390836.10
atomic_family	128	1280000	5	305064570	4195833.03
atomic_family	128	1280000	6	284797122	4494427.44
atomic_family	128	1280000	7	305061437	4195876.12
atomic_family	128	1280000	8	288554335	4435906.33
atomic_family	128	1280000	9	304861720	4198624.87
copy_on_write	1	10000	0	2032028	4921192.03
copy_on_write	1	10000	1	2178929	4589410.67
copy_on_write	1	10000	2	2374514	4211388.10
copy_on_write	1	10000	3	3095787	3230196.39
copy_on_write	1	10000	4	3015044	3316701.18
copy_on_write	1	10000	5	3152120	3172468.05
copy_on_write	1	10000	6	3208956	3116278.32
copy_on_write	1	10000	7	2810955	3557509.81
copy_on_write	1	10000	8	2087057	4791435.98
copy_on_write	1	10000	9	2206182	4532717.61
copy_on_write	2	20000	0	7171644	2788760.85
copy_on_write	2	20000	1	5839258	3425092.71
copy_on_write	2	20000	2	6670758	2998160.03
copy_on_write	2	20000	3	5010587	3991548.30
copy_on_write	2	20000	4	5272981	3792920.93
copy_on_write	2	20000	5	8639684	2314899.48
copy_on_write	2	20000	6	6624180	3019241.63
copy_on_write	2	20000	7	7117928	2809806.45
copy_on_write	2	20000	8	5193939	3850642.07
copy_on_write	2	20000	9	4374749	4571690.86
copy_on_write	8	80000	0	18072785	4426545.22
copy_on_write	8	80000	1	17549705	4558481.18
copy_on_write	8	80000	2	17956990	4455089.63
copy_on_write	8	80000	3	23800535	3361268.98
copy_on_write	8	80000	4	24378565	3281571.33
copy_on_write	8	80000	5	27283429	2932182.75
copy_on_write	8	80000	6	28523486	2804706.27
copy_on_write	8	80000	7	29587806	2703816.57
copy_on_write	8	80000	8	29057710	2753141.94
copy_on_write	8	80000	9	30020785	2664820.39
copy_on_write	32	320000	0	103270112	3098670.02
copy_on_write	32	320000	1	108571501	2947366.45
copy_on_write	32	320000	2	110672746	2891407.43
copy_on_write	32	320000	3	111890191	2859946.86
copy_on_write	32	320000	4	103206084	3100592.40
copy_on_write	32	320000	5	110795803	2888196.04
copy_on_write	32	320000	6	105791470	3024818.54
copy_on_write	32	320000	7	99420614	3218648.40
copy_on_write	32	320000	8	104734310	3055350.25
copy_on_write	32	320000	9	111994873	2857273.65
copy_on_write	128	1280000	0	486894430	2628906.64
copy_on_write	128	1280000	1	504950053	2534904.18
copy_on_write	128	1280000	2	480586577	2663411.88
copy_on_write	128	1280000	3	467493773	2738004.38
copy_on_write	128	1280000	4	486215809	2632575.86
copy_on_write	128	1280000	5	448695007	2852717.28
copy_on_write	128	1280000	6	500767252	2556077.69
copy_on_write	128	1280000	7	510929650	2505237.27
copy_on_write	128	1280000	8	522699445	2448826.02
copy_on_write	128	1280000	9	486061425	2633412.02
