case	iteration	signal_to_exit_ms
signal_direct_pid1	1	0.441
signal_direct_pg	1	0.539
signal_direct_pg_init	1	0.472
signal_direct_pg_init_subreaper	1	0.382
signal_shell_script_pg	1	2.006
signal_shell_no_pg	1	0.139
signal_shell_pg	1	0.164
signal_shell_pg_init	1	0.151
signal_bash_pg	1	1.582
shutdown_grace_forced_kill	1	506.627
repeat_signal_direct_pg	1	0.447
repeat_signal_direct_pg	1	0.326
repeat_signal_direct_pg	1	0.461
repeat_signal_direct_pg	1	0.511
repeat_signal_direct_pg	1	0.409
repeat_signal_direct_pg	1	0.411
repeat_signal_direct_pg	1	0.389
repeat_signal_direct_pg	1	0.438
repeat_signal_direct_pg	1	0.461
repeat_signal_direct_pg	1	0.426
repeat_signal_direct_pg	1	0.508
repeat_signal_direct_pg	1	0.429
repeat_signal_direct_pg	1	0.434
repeat_signal_direct_pg	1	0.581
repeat_signal_direct_pg	1	0.625
repeat_signal_direct_pg	1	0.374
repeat_signal_direct_pg	1	0.431
repeat_signal_direct_pg	1	0.420
repeat_signal_direct_pg	1	0.533
repeat_signal_direct_pg	1	0.371
repeat_signal_direct_pg	1	0.404
repeat_signal_direct_pg	1	0.472
repeat_signal_direct_pg	1	0.468
repeat_signal_direct_pg	1	0.475
repeat_signal_direct_pg	1	0.411
repeat_signal_direct_pg	1	0.540
repeat_signal_direct_pg	1	0.362
repeat_signal_direct_pg	1	0.380
repeat_signal_direct_pg	1	0.943
repeat_signal_direct_pg	1	0.488
