case	assertion	expected	actual	result
startup	ready	true	true	pass
non_root	uid_nonzero	true	true	pass
binding	host_loopback	127.0.0.1	127.0.0.1	pass
sandbox	read_only_rootfs	true	true	pass
sandbox	no_new_privileges	true	true	pass
sandbox	all_capabilities_dropped	true	true	pass
complete_snapshot	first_install	204	204	pass
complete_snapshot	replacement	204	204	pass
complete_snapshot	omitted_series_removed	true	true	pass
validation	malformed_rejected	400	400	pass
validation	last_valid_retained	true	true	pass
validation	duplicate_rejected	400	400	pass
secret_policy	secret_like_label_rejected	400	400	pass
label_limit	too_many_labels	422	422	pass
label_limit	long_value	422	422	pass
series_limit	too_many_series	422	422	pass
payload_limit	oversized	413	413	pass
concurrency_limit	overload_rejected	true	true	pass
concurrency_limit	bounded_acceptance	true	true	pass
slow_client	server_survives	true	true	pass
fd_limit	soft_limit	64	64	pass
memory_limit	configured_bytes	67108864	67108864	pass
path_permissions	private_mode	700	700	pass
bind_failure	internal_exit	70	70	pass
memory_exhaustion	oom_killed	true	true	pass
memory_exhaustion	signal_exit	137	137	pass
malicious_producer	server_survives_fuzz	true	true	pass
