protocol	case	input	delivered	failed_or_blocked	duration_ms	result
stream-line	slow_reader_backpressure	2000	2000	0	167.286	pass
stream-framed	slow_reader_backpressure	2000	2000	0	170.889	pass
datagram-line	slow_reader_backpressure	2000	1696	304	2016.491	pass
stream-line	application_connection_limit_recovery	32	1	22	0.000	pass
stream-line	system_fd_exhaustion	256	62	194	5.993	pass
datagram-line	fd_model_no_per_producer_accept	256	256	0	1.721	pass
