protocol	producers	payload_bytes	messages	repetition	delivered	dropped_or_failed	wall_ms	msg_per_second	p50_us	p95_us	p99_us	cpu_ms	go_runtime_sys_kib	rss_kib	result
stream-line	1	64	2000	1	2000	0	2.400	833217.7	2.125	211.083	321.583	5.197	12886	6200	pass
stream-line	1	64	2000	2	2000	0	1.825	1095665.3	2.125	18.542	64.709	3.857	12886	6864	pass
stream-line	1	64	2000	3	2000	0	1.786	1120082.3	2.125	18.666	57.333	3.627	12886	7488	pass
stream-line	1	1024	2000	1	2000	0	3.295	607033.9	2.833	65.250	151.791	6.617	12886	9320	pass
stream-line	1	1024	2000	2	2000	0	3.327	601074.4	2.417	37.625	127.125	6.811	12886	9236	pass
stream-line	1	1024	2000	3	2000	0	4.825	414472.0	11.750	75.583	257.291	10.969	12886	9220	pass
stream-line	1	8192	500	1	500	0	4.062	123097.1	43.250	288.375	336.875	8.907	12886	10740	pass
stream-line	1	8192	500	2	500	0	5.355	93375.0	30.583	135.125	179.208	9.293	12886	10708	pass
stream-line	1	8192	500	3	500	0	7.037	71055.1	45.833	304.083	341.791	12.049	12886	10796	pass
stream-line	8	64	16000	1	16000	0	11.545	1385891.4	644.375	3415.958	4065.458	41.454	13142	10432	pass
stream-line	8	64	16000	2	16000	0	9.832	1627263.5	869.917	3227.750	4538.333	41.194	13142	10332	pass
stream-line	8	64	16000	3	16000	0	9.445	1694100.3	622.708	2529.792	2845.000	40.562	13142	10748	pass
stream-line	8	1024	16000	1	16000	0	25.251	633634.1	210.084	2141.792	3913.875	81.139	13142	10440	pass
stream-line	8	1024	16000	2	16000	0	27.921	573053.9	243.041	2020.250	3062.334	86.817	13142	10104	pass
stream-line	8	1024	16000	3	16000	0	33.916	471754.3	185.167	3052.542	4507.417	106.188	13142	9304	pass
stream-line	8	8192	4000	1	4000	0	57.324	69778.2	731.041	4230.417	5277.083	127.163	17238	10304	pass
stream-line	8	8192	4000	2	4000	0	49.930	80112.2	548.500	4493.875	6582.167	120.335	21334	12488	pass
stream-line	8	8192	4000	3	4000	0	49.777	80358.0	799.666	3910.208	4952.709	115.956	21334	10560	pass
stream-line	32	64	64000	1	64000	0	49.987	1280330.7	2329.334	17014.708	25563.792	168.540	21334	11664	pass
stream-line	32	64	64000	2	64000	0	41.236	1552051.3	897.167	13773.084	23386.875	149.338	21334	11268	pass
stream-line	32	64	64000	3	64000	0	38.120	1678895.8	1167.709	9260.875	16623.833	145.729	21334	11504	pass
stream-line	32	1024	64000	1	64000	0	86.534	739589.8	298.292	8252.208	15597.875	311.985	21334	9888	pass
stream-line	32	1024	64000	2	64000	0	89.236	717203.4	254.833	8623.417	14851.583	318.316	25430	10560	pass
stream-line	32	1024	64000	3	64000	0	84.335	758874.2	273.875	9075.250	15420.208	294.764	25430	10812	pass
stream-line	32	8192	16000	1	16000	0	115.920	138026.7	326.958	13750.333	17989.958	363.102	25430	10560	pass
stream-line	32	8192	16000	2	16000	0	116.081	137834.6	336.375	11463.209	20745.750	369.256	25430	11524	pass
stream-line	32	8192	16000	3	16000	0	120.319	132979.4	335.333	10961.167	16742.750	374.263	25430	10356	pass
stream-framed	1	64	2000	1	2000	0	3.720	537562.2	149.375	297.000	320.334	5.269	25430	10360	pass
stream-framed	1	64	2000	2	2000	0	4.898	408343.8	325.250	632.500	635.792	8.024	25430	9224	pass
stream-framed	1	64	2000	3	2000	0	3.781	528908.1	169.375	328.958	363.083	5.817	25430	9240	pass
stream-framed	1	1024	2000	1	2000	0	6.351	314917.2	76.917	282.166	340.542	13.951	25430	9228	pass
stream-framed	1	1024	2000	2	2000	0	5.485	364650.2	76.250	244.500	364.375	9.939	25430	9708	pass
stream-framed	1	1024	2000	3	2000	0	5.276	379039.1	84.959	263.916	365.666	9.680	25430	9900	pass
stream-framed	1	8192	500	1	500	0	4.927	101488.5	72.792	268.167	312.792	10.928	25430	10116	pass
stream-framed	1	8192	500	2	500	0	6.668	74981.7	118.417	277.958	381.209	12.248	25430	10748	pass
stream-framed	1	8192	500	3	500	0	6.182	80876.2	71.417	252.833	394.625	11.022	25430	10036	pass
