key	value
run_date_utc	2026-07-21T20:30:15Z
repository_head_sha	3f0aa8cba28cc369c0fd2f3ded39225300b2a1e6
benchmark_scope_diff_clean	true
benchmark_scope_untracked_count	0
benchmark_code_fingerprint_sha256	a8042a6b12b8d659f701125584223373a934186d45fdeae2e64f89f6362c05f2
docker_server_version	27.4.0
docker_info	linux/x86_64 ncpu=8 memory=3937562624
container_kernel	Linux c5b30bb5465d 6.10.14-linuxkit #1 SMP PREEMPT_DYNAMIC Fri Nov 29 17:24:06 UTC 2024 x86_64 Linux
repeat_count	30
