sample	timestamp_ms	http_code	counter	attempt	exit_code
1	1784665537115.002	200	5	1	-1
2	1784665537184.273	200	5	1	-1
3	1784665537290.796	200	5	1	-1
4	1784665537402.977	200	5	1	-1
5	1784665537504.993	200	5	1	17
6	1784665537613.587	200	5	1	17
7	1784665537727.587	000			
8	1784665537836.771	000			
9	1784665537950.207	000			
10	1784665538067.589	000			
11	1784665538182.319	000			
12	1784665538309.676	000			
13	1784665538420.316	000			
14	1784665538541.376	000			
15	1784665538656.436	000			
16	1784665538757.442	000			
17	1784665538871.103	000			
18	1784665538975.898	000			
19	1784665539055.571	000			
20	1784665539160.944	000			
21	1784665539273.133	000			
22	1784665539375.751	000			
23	1784665539484.535	000			
24	1784665539578.734	000			
25	1784665539681.213	000			
26	1784665539772.334	000			
27	1784665539877.670	000			
28	1784665539956.165	000			
29	1784665540026.477	000			
30	1784665540124.042	000			
31	1784665540225.628	000			
32	1784665540326.008	000			
33	1784665540402.266	000			
34	1784665540502.286	000			
35	1784665540574.328	000			
36	1784665540645.035	000			
37	1784665540715.654	000			
38	1784665540817.328	000			
39	1784665540900.826	000			
40	1784665541003.747	000			
41	1784665541103.357	000			
42	1784665541205.328	000			
43	1784665541310.461	000			
44	1784665541405.627	000			
45	1784665541529.119	000			
46	1784665541639.620	000			
47	1784665541711.213	000			
48	1784665541780.785	000			
49	1784665541883.769	000			
50	1784665541998.700	000			
51	1784665542097.824	000			
52	1784665542196.902	000			
53	1784665542297.331	000			
54	1784665542401.972	000			
55	1784665542514.963	000			
56	1784665542615.730	000			
57	1784665542721.426	000			
58	1784665542832.834	000			
59	1784665542937.121	000			
60	1784665543051.286	000			
61	1784665543153.132	000			
62	1784665543255.877	000			
63	1784665543356.814	000			
64	1784665543462.189	000			
65	1784665543582.352	000			
66	1784665543657.710	000			
67	1784665543729.765	000			
68	1784665543800.991	000			
69	1784665543873.342	000			
70	1784665543944.599	000			
71	1784665544017.151	000			
72	1784665544089.354	000			
73	1784665544156.591	000			
74	1784665544229.790	000			
75	1784665544336.180	000			
76	1784665544448.284	000			
77	1784665544552.489	000			
78	1784665544658.307	000			
79	1784665544774.041	000			
80	1784665544884.768	000			
81	1784665544982.550	000			
82	1784665545087.308	000			
83	1784665545190.398	000			
84	1784665545301.179	000			
85	1784665545416.908	000			
86	1784665545528.836	000			
87	1784665545631.689	000			
88	1784665545738.163	000			
89	1784665545850.144	000			
90	1784665545953.456	000			
91	1784665546064.977	000			
92	1784665546164.798	000			
93	1784665546264.759	000			
94	1784665546367.388	000			
95	1784665546443.371	000			
96	1784665546545.259	000			
97	1784665546658.494	000			
98	1784665546760.017	000			
99	1784665546867.214	000			
100	1784665546979.143	000			
101	1784665547090.379	000			
102	1784665547201.618	000			
103	1784665547317.688	000			
104	1784665547431.700	000			
105	1784665547533.738	000			
106	1784665547639.112	000			
107	1784665547752.089	000			
108	1784665547857.666	000			
109	1784665547969.112	000			
110	1784665548074.941	000			
111	1784665548190.762	000			
112	1784665548308.768	000			
113	1784665548423.269	000			
114	1784665548534.375	000			
115	1784665548635.909	000			
116	1784665548737.939	000			
117	1784665548843.243	000			
118	1784665548956.696	000			
119	1784665549062.987	000			
120	1784665549167.792	000			
121	1784665549278.995	000			
122	1784665549384.018	000			
123	1784665549497.073	000			
124	1784665549598.690	000			
125	1784665549701.331	000			
126	1784665549807.487	000			
127	1784665549923.636	000			
128	1784665550037.845	000			
129	1784665550138.650	000			
130	1784665550240.688	000			
131	1784665550352.774	000			
132	1784665550469.534	000			
133	1784665550580.247	000			
134	1784665550684.824	000			
135	1784665550797.621	000			
136	1784665550902.772	000			
137	1784665551014.328	000			
138	1784665551116.519	000			
139	1784665551217.793	000			
140	1784665551318.947	000			
141	1784665551395.286	000			
142	1784665551493.104	000			
143	1784665551569.508	000			
144	1784665551671.860	000			
145	1784665551788.156	000			
146	1784665551899.143	000			
147	1784665552001.450	000			
148	1784665552103.398	000			
149	1784665552206.597	000			
150	1784665552308.361	000			
