iteration	signal_to_exit_ms	exit_code	result
1	2.398	143	pass
2	2.111	143	pass
3	1.956	143	pass
4	2.012	143	pass
5	1.995	143	pass
6	1.658	143	pass
7	1.797	143	pass
8	2.187	143	pass
9	1.901	143	pass
10	0.630	143	pass
11	2.117	143	pass
12	1.651	143	pass
13	1.870	143	pass
14	1.895	143	pass
15	1.914	143	pass
16	0.612	143	pass
17	0.690	143	pass
18	0.714	143	pass
19	2.137	143	pass
20	1.842	143	pass
21	1.583	143	pass
22	1.697	143	pass
23	1.572	143	pass
24	1.686	143	pass
25	1.769	143	pass
26	0.704	143	pass
27	1.622	143	pass
28	1.596	143	pass
29	0.690	143	pass
30	1.767	143	pass
