protocol	case	input	delivered	failed_or_blocked	duration_ms	result
stream-line	slow_reader_backpressure	2000	2000	0	150.760	pass
stream-framed	slow_reader_backpressure	2000	2000	0	111.446	pass
datagram-line	slow_reader_backpressure	2000	2000	0	1729.356	pass
stream-line	application_connection_limit_recovery	32	1	5	0.000	pass
stream-line	system_fd_exhaustion	256	61	195	14.234	pass
datagram-line	fd_model_no_per_producer_accept	256	256	0	5.340	pass
