protocol	producers	payload_bytes	messages	repetition	delivered	dropped_or_failed	wall_ms	msg_per_second	p50_us	p95_us	p99_us	cpu_ms	go_runtime_sys_kib	rss_kib	result
stream-framed	32	1024	64000	1	64000	0	362.256	176670.5	1235.695	24715.105	38523.019	1278.405	34134	10244	pass
stream-framed	32	1024	64000	2	64000	0	454.491	140817.0	1503.802	35035.709	58093.975	1695.169	34134	12044	pass
stream-framed	32	1024	64000	3	64000	0	422.026	151649.4	1800.532	31419.001	49180.990	1575.680	34134	10408	pass
stream-framed	32	8192	16000	1	16000	0	970.641	16483.9	10924.941	76848.921	130258.450	2686.255	34134	12468	pass
stream-framed	32	8192	16000	2	16000	0	1165.694	13725.7	21235.339	86850.613	143506.981	3525.626	34134	11044	pass
stream-framed	32	8192	16000	3	16000	0	1183.254	13522.0	22414.282	90070.107	129759.845	3478.223	34134	14260	pass
datagram-line	1	64	2000	1	2000	0	16.544	120887.5	39.279	94.108	123.510	34.864	34134	14260	pass
datagram-line	1	64	2000	2	2000	0	25.850	77369.8	56.473	179.552	493.737	47.522	34134	13436	pass
datagram-line	1	64	2000	3	2000	0	22.570	88613.7	21.828	53.923	75.977	45.755	34134	13436	pass
datagram-line	1	1024	2000	1	2000	0	29.250	68375.3	20.783	170.896	430.271	69.670	34134	10564	pass
datagram-line	1	1024	2000	2	2000	0	27.015	74031.7	23.007	145.826	709.194	60.507	34134	9756	pass
datagram-line	1	1024	2000	3	2000	0	26.684	74950.7	28.552	151.994	592.171	56.281	34134	10140	pass
datagram-line	1	8192	500	1	500	0	24.387	20502.4	86.632	509.886	877.219	57.479	34134	9932	pass
datagram-line	1	8192	500	2	500	0	22.783	21946.5	184.384	854.599	1239.608	53.538	34134	9764	pass
datagram-line	1	8192	500	3	500	0	30.100	16611.5	185.368	709.235	935.026	75.068	34134	9548	pass
datagram-line	8	64	16000	1	16000	0	118.430	135100.4	76.204	384.204	747.670	602.539	34134	9280	pass
datagram-line	8	64	16000	2	16000	0	57.163	279900.2	41.529	164.027	273.683	286.411	34134	9768	pass
datagram-line	8	64	16000	3	16000	0	57.632	277623.0	40.913	153.797	279.489	269.858	34134	9988	pass
datagram-line	8	1024	16000	1	16000	0	85.251	187681.6	58.198	253.232	666.926	380.034	34134	10176	pass
datagram-line	8	1024	16000	2	16000	0	86.777	184379.8	59.694	264.265	555.272	393.255	34134	9524	pass
datagram-line	8	1024	16000	3	16000	0	87.676	182489.1	59.932	250.472	546.297	392.428	34134	9860	pass
datagram-line	8	8192	4000	1	4000	0	87.761	45578.5	198.606	1550.007	2085.254	210.184	34134	10108	pass
datagram-line	8	8192	4000	2	4000	0	85.517	46774.1	239.918	1197.803	1853.114	232.990	34134	10204	pass
datagram-line	8	8192	4000	3	4000	0	91.540	43696.7	204.487	1557.414	2483.184	222.173	34134	14352	pass
datagram-line	32	64	64000	1	64000	0	254.111	251858.2	56.682	610.723	1041.268	1488.081	34134	10168	pass
datagram-line	32	64	64000	2	64000	0	283.546	225712.6	54.478	693.580	1401.171	1485.009	34134	10836	pass
datagram-line	32	64	64000	3	64000	0	252.543	253422.2	57.049	602.875	1031.898	1451.146	34134	10580	pass
datagram-line	32	1024	64000	1	64000	0	374.782	170765.8	92.587	927.498	1591.900	1880.233	34134	10464	pass
datagram-line	32	1024	64000	2	64000	0	405.671	157763.3	107.484	1006.321	1683.141	2050.632	34134	10724	pass
datagram-line	32	1024	64000	3	64000	0	390.596	163852.2	106.833	937.137	1601.583	1995.599	34134	10808	pass
datagram-line	32	8192	16000	1	16000	0	411.908	38843.6	636.383	3577.583	5690.708	1261.778	34134	10504	pass
datagram-line	32	8192	16000	2	16000	0	417.248	38346.5	655.670	3575.175	5553.325	1277.924	34134	11096	pass
datagram-line	32	8192	16000	3	16000	0	397.929	40208.2	557.347	3537.603	5575.572	1285.215	34134	10340	pass
