experiment	assertion	expected	actual	result
E-018.1	php_runtime_contains_5_4	true	true	pass
E-018.1	counter_visible	true	true	pass
E-018.1	gauge_visible	true	true	pass
E-018.1	histogram_visible	true	true	pass
E-018.1	stateless_source	true	true	pass
E-018.1	accepted_category	true	true	pass
E-018.1	rejected_category_exit	rejected:4	rejected:4	pass
E-018.1	transport_category_exit	transport_error:3	transport_error:3	pass
E-018.1	protocol_category_exit	protocol_error:5	protocol_error:5	pass
E-018.2	worker_processes_exit_zero	true	true	pass
E-018.2	worker_0_exact	true	true	pass
E-018.2	worker_1_exact	true	true	pass
E-018.2	worker_2_exact	true	true	pass
E-018.2	worker_3_exact	true	true	pass
E-018.2	unrelated_state_preserved	true	true	pass
E-018.3	helper_success	true	true	pass
E-018.3	rejected_exit	4	4	pass
E-018.3	connect_exit	3	3	pass
E-018.3	no_second_daemon	1	1	pass
E-018.3	unix_allowed_client	true	true	pass
E-018.3	unix_unprivileged_denied	3	3	pass
E-018.4	bounded_failure_exit	3	3	pass
E-018.4	bounded_under_2s	true	true	pass
E-018.4	ready_precedes_clients	true	true	pass
E-018.5	reconnect_exact	true	true	pass
E-018.5	new_epoch	true	true	pass
E-018.5	empty_after_restart	true	true	pass
E-018.6	unix_http_parity	true	true	pass
E-018.6	exact_64kib_accepted	true	true	pass
E-018.6	unix_malformed_rejected	4	4	pass
E-018.6	unix_partial_rejected	4	4	pass
E-018.6	unix_oversized_rejected	4	4	pass
E-018.6	http_malformed_rejected	4	4	pass
E-018.6	http_oversized_rejected	4	4	pass
E-018.6	unix_version_unsupported_rejected	4	4	pass
E-018.6	unix_version_missing_rejected	4	4	pass
E-018.6	unix_version_invalid_rejected	4	4	pass
Additional	all_benchmark_errors_zero	true	true	pass
E-018.6	persistent_matrix_cells	12	12	pass
E-018.6	persistent_matrix_errors_zero	true	true	pass
E-018.6	unix_reuse_explicitly_deferred	2	2	pass
