transport	concurrent_publishers	snapshot_bytes	accepted_snapshots	cpu_ns	cpu_ns_per_accepted_snapshot	max_rss_kb
mmap_file	1	128	500	2782000	5564	11896
mmap_tmpfs	1	128	500	2681000	5362	11896
unix_socket	1	128	500	18289000	36578	11896
mmap_file	8	128	4000	37260000	9315	11896
mmap_tmpfs	8	128	4000	31643000	7910	11896
unix_socket	8	128	4000	92126000	23031	11896
mmap_file	1	4096	100	1626000	16260	11896
mmap_tmpfs	1	4096	100	1112000	11120	11896
unix_socket	1	4096	100	6894000	68940	11896
mmap_file	8	4096	800	13814000	17267	13892
mmap_tmpfs	8	4096	800	12911000	16138	13892
unix_socket	8	4096	800	21430000	26787	13892
mmap_file	1	65536	20	2785000	139250	13892
mmap_tmpfs	1	65536	20	2344000	117200	13892
unix_socket	1	65536	20	3532000	176600	13892
mmap_file	8	65536	160	23533000	147081	21576
mmap_tmpfs	8	65536	160	20415000	127593	21576
unix_socket	8	65536	160	18107000	113168	21576
