series	snapshot_bytes	repetitions	total_ns	ns_per_snapshot
0	35	30	7375	245
1	129	30	26083	869
10	435	30	167834	5594
100	3585	30	1266709	42223
1000	35985	30	14921417	497380
10000	368985	30	178375833	5945861
