protocol	producers	payload_bytes	messages	repetition	delivered	dropped_or_failed	wall_ms	msg_per_second	p50_us	p95_us	p99_us	cpu_ms	rss_kib	result
stream-line	1	64	2000	1	2000	0	27.499	72728.8	22.560	256.801	1418.303	57.069	12566	pass
stream-line	1	64	2000	2	2000	0	12.035	166179.4	12.091	34.595	112.910	24.149	12566	pass
stream-line	1	64	2000	3	2000	0	6.739	296768.9	5.850	17.143	44.259	13.731	12566	pass
stream-line	1	1024	2000	1	2000	0	7.579	263891.2	6.398	144.075	286.848	16.197	12630	pass
stream-line	1	1024	2000	2	2000	0	5.677	352312.5	4.771	33.484	131.948	12.692	12630	pass
stream-line	1	1024	2000	3	2000	0	5.146	388654.0	4.217	32.188	71.294	10.992	12630	pass
stream-line	1	8192	500	1	500	0	7.422	67369.4	40.895	209.534	300.398	10.986	12630	pass
stream-line	1	8192	500	2	500	0	6.779	73760.2	76.179	246.357	260.937	10.254	12630	pass
stream-line	1	8192	500	3	500	0	7.830	63857.8	55.335	1087.793	1287.746	12.757	12630	pass
stream-line	8	64	16000	1	16000	0	13.039	1227112.0	7.977	4229.447	6798.330	75.240	13142	pass
stream-line	8	64	16000	2	16000	0	13.004	1230368.0	9.824	2283.632	2769.395	77.029	13142	pass
stream-line	8	64	16000	3	16000	0	12.055	1327201.1	131.168	4435.855	5284.309	70.798	13142	pass
stream-line	8	1024	16000	1	16000	0	56.257	284406.6	183.199	4774.029	9099.016	140.648	13142	pass
stream-line	8	1024	16000	2	16000	0	59.500	268908.6	145.031	4768.009	8256.066	140.512	17238	pass
stream-line	8	1024	16000	3	16000	0	58.119	275298.9	116.003	5540.398	8772.679	148.916	17494	pass
stream-line	8	8192	4000	1	4000	0	229.057	17462.9	2198.661	19345.095	29869.305	661.428	17494	pass
stream-line	8	8192	4000	2	4000	0	186.725	21421.9	1912.179	16632.979	23455.029	468.740	17494	pass
stream-line	8	8192	4000	3	4000	0	126.516	31616.5	1319.636	11702.266	18359.236	285.962	17750	pass
stream-line	32	64	64000	1	64000	0	94.017	680729.3	550.926	26867.824	42152.204	567.706	17750	pass
stream-line	32	64	64000	2	64000	0	52.048	1229644.3	447.700	14882.353	22897.288	294.580	17750	pass
stream-line	32	64	64000	3	64000	0	50.177	1275490.4	292.500	16271.050	23199.866	296.050	17750	pass
stream-line	32	1024	64000	1	64000	0	210.362	304237.8	136.774	18698.215	34841.466	751.853	25942	pass
stream-line	32	1024	64000	2	64000	0	276.267	231659.9	266.478	33239.762	56103.905	1135.826	25942	pass
stream-line	32	1024	64000	3	64000	0	182.407	350863.9	159.047	20537.188	36020.146	659.225	25942	pass
stream-line	32	8192	16000	1	16000	0	269.952	59269.7	466.311	28479.684	46982.123	671.980	34390	pass
stream-line	32	8192	16000	2	16000	0	395.807	40423.7	914.618	41126.327	68400.924	1142.751	34390	pass
stream-line	32	8192	16000	3	16000	0	345.541	46304.2	512.534	28440.911	54980.625	939.500	34390	pass
stream-framed	1	64	2000	1	2000	0	8.973	222885.6	664.180	1118.858	1209.739	16.241	34390	pass
stream-framed	1	64	2000	2	2000	0	11.592	172531.1	692.700	1577.811	1917.767	25.451	34390	pass
stream-framed	1	64	2000	3	2000	0	9.657	207108.8	668.361	1119.741	1169.350	16.361	34390	pass
stream-framed	1	1024	2000	1	2000	0	14.709	135975.2	327.884	701.508	852.002	31.512	34390	pass
stream-framed	1	1024	2000	2	2000	0	15.465	129325.6	321.645	690.200	798.519	29.073	34390	pass
stream-framed	1	1024	2000	3	2000	0	11.775	169850.0	189.069	684.990	1181.616	20.022	34390	pass
stream-framed	1	8192	500	1	500	0	7.784	64232.1	118.551	351.213	619.703	14.588	34390	pass
stream-framed	1	8192	500	2	500	0	8.929	55998.7	168.198	736.812	945.613	16.682	34390	pass
