case	expected	actual	result
initial_file	observed	observed	pass
initially_absent_then_created	observed	observed	pass
atomic_rename	observed	observed	pass
repeated_replacement_100	final_observed	observed	pass
writer_crash_before_rename	last_valid_103	103	pass
invalid_update_retains_last_valid	103	103	pass
file_deletion_retains_last_valid	103	103	pass
directory_recreation	observed	observed	pass
metricshell_restart	initial_state_observed	observed	pass
