filesystem	strategy	interval_ms	duration_ms	cpu_ms	cpu_percent	reads	parse_errors
layer	poll	10ms	5003.019	148.517	2.969	500	0
layer	poll	100ms	5003.210	23.992	0.480	50	0
layer	poll	1s	5005.041	3.018	0.060	6	0
layer	inotify	1s	5043.394	9.528	0.189	1	0
layer	hybrid	100ms	5032.837	21.487	0.427	47	0
layer	hybrid	1s	5026.118	13.649	0.272	5	0
tmpfs	poll	10ms	5001.504	150.752	3.014	501	0
tmpfs	poll	100ms	5007.983	24.100	0.481	51	0
tmpfs	poll	1s	5004.089	17.921	0.358	6	0
tmpfs	inotify	1s	5055.237	11.682	0.231	1	0
tmpfs	hybrid	100ms	5026.808	21.744	0.433	47	0
tmpfs	hybrid	1s	5068.525	21.203	0.418	5	0
volume	poll	10ms	5001.655	129.672	2.593	501	0
volume	poll	100ms	5003.041	18.077	0.361	50	0
volume	poll	1s	5004.790	4.370	0.087	6	0
volume	inotify	1s	5030.426	12.334	0.245	1	0
volume	hybrid	100ms	5059.303	27.970	0.553	48	0
volume	hybrid	1s	5063.554	14.477	0.286	5	0
