case	total_s	workload_budget_ms	reserve_ms	mode	exit_code	forced	shutdown_ms	finalize_ms	http_result	result
1_immediate	1	750	250	immediate	0	false	22.484	20	drained	pass
1_just_before	1	750	250	just_before	0	false	674.507	20	drained	pass
1_after_deadline	1	750	250	after_deadline	137	true	773.309	20	drained	pass
1_never	1	750	250	never	137	true	777.234	20	drained	pass
5_immediate	5	4000	1000	immediate	0	false	20.624	20	drained	pass
5_just_before	5	4000	1000	just_before	0	false	3930.539	20	drained	pass
5_after_deadline	5	4000	1000	after_deadline	137	true	4023.113	20	drained	pass
5_never	5	4000	1000	never	137	true	4022.429	20	drained	pass
10_immediate	10	9000	1000	immediate	0	false	23.148	20	drained	pass
10_just_before	10	9000	1000	just_before	0	false	8935.097	20	drained	pass
10_after_deadline	10	9000	1000	after_deadline	137	true	9039.308	20	drained	pass
10_never	10	9000	1000	never	137	true	9028.187	20	drained	pass
30_immediate	30	28000	2000	immediate	0	false	24.815	20	drained	pass
30_just_before	30	28000	2000	just_before	0	false	27935.941	20	drained	pass
30_after_deadline	30	28000	2000	after_deadline	137	true	28062.445	20	drained	pass
30_never	30	28000	2000	never	137	true	28024.567	20	drained	pass
60_immediate	60	58000	2000	immediate	0	false	24.140	20	drained	pass
60_just_before	60	58000	2000	just_before	0	false	57941.380	20	drained	pass
60_after_deadline	60	58000	2000	after_deadline	137	true	58078.702	20	drained	pass
60_never	60	58000	2000	never	137	true	58050.850	20	drained	pass
