iteration	shutdown_ms	exit_code	result
1	6.840	0	pass
2	6.832	0	pass
3	7.986	0	pass
4	6.574	0	pass
5	7.119	0	pass
6	6.617	0	pass
7	6.788	0	pass
8	7.376	0	pass
9	6.226	0	pass
10	5.673	0	pass
11	6.867	0	pass
12	6.094	0	pass
13	7.436	0	pass
14	7.438	0	pass
15	7.320	0	pass
16	6.454	0	pass
17	7.090	0	pass
18	6.407	0	pass
19	6.232	0	pass
20	6.459	0	pass
21	6.825	0	pass
22	7.710	0	pass
23	6.691	0	pass
24	5.609	0	pass
25	7.303	0	pass
26	9.092	0	pass
27	6.634	0	pass
28	6.751	0	pass
29	7.110	0	pass
30	7.248	0	pass
