external_timeout_ms	internal_total_grace_ms	shutdown_complete_elapsed_ms	docker_stop_elapsed_ms	safety_margin_ms	container_exit	shutdown_complete_count	docker_oom_killed	result
1000	750	527.823	642	472.177	137	1	false	pass
5000	4000	3529.925	3708	1470.075	137	1	false	pass
