case	scrape_delay_ms	http_result	http_elapsed_ms	post_term_http_code	normal_post_term_scrape	shutdown_ms	result
fits	100	drained	73.423	000	false	424.044	pass
overruns	1500	timeout	704.135	000	false	704.304	pass
