filesystem	strategy	interval_ms	file_bytes	repetition	updates	observed	missed	p50_ms	p95_ms	p99_ms	max_ms	wall_ms	cpu_ms	cpu_percent	reads	parse_errors	watch_invalidations	queue_overflows
layer	poll	10ms	128	1	30	30	0	9.991	10.791	10.804	11.821	291.648	25.125	8.615	30	0	0	0
layer	poll	10ms	128	2	30	30	0	9.965	10.762	10.851	11.988	291.737	26.332	9.026	30	0	0	0
layer	poll	10ms	128	3	30	30	0	9.958	11.776	11.908	13.144	302.084	30.689	10.159	30	0	0	0
layer	poll	10ms	4096	1	30	30	0	9.976	10.676	11.175	11.778	300.683	27.570	9.169	30	0	0	0
layer	poll	10ms	4096	2	30	30	0	9.973	10.140	10.148	10.806	291.182	34.328	11.789	30	0	0	0
layer	poll	10ms	4096	3	30	30	0	9.949	11.615	11.970	13.793	292.542	33.700	11.520	30	0	0	0
layer	poll	10ms	1048576	1	5	5	0	18.134	18.241	18.241	20.822	77.041	89.994	116.812	7	0	0	0
layer	poll	10ms	1048576	2	5	5	0	18.271	21.229	21.229	22.277	88.893	112.498	126.554	8	0	0	0
layer	poll	10ms	1048576	3	5	5	0	11.175	21.105	21.105	23.355	76.011	98.941	130.167	7	0	0	0
layer	poll	100ms	128	1	30	30	0	99.925	100.423	100.423	101.598	2901.624	32.712	1.127	30	0	0	0
layer	poll	100ms	128	2	30	30	0	99.999	100.794	100.917	103.227	3002.323	35.216	1.173	30	0	0	0
layer	poll	100ms	128	3	30	30	0	99.977	100.309	100.407	100.643	2900.918	33.838	1.166	30	0	0	0
layer	poll	100ms	4096	1	30	30	0	99.972	101.873	102.152	102.209	2901.079	35.291	1.216	30	0	0	0
layer	poll	100ms	4096	2	30	30	0	99.983	100.254	100.812	101.746	2901.245	35.254	1.215	30	0	0	0
layer	poll	100ms	4096	3	30	30	0	99.961	100.207	100.584	102.682	3001.745	36.804	1.226	30	0	0	0
layer	poll	100ms	1048576	1	5	5	0	100.918	101.267	101.267	120.722	510.290	89.318	17.503	5	0	0	0
layer	poll	100ms	1048576	2	5	5	0	104.344	104.828	104.828	123.393	514.836	111.465	21.651	5	0	0	0
layer	poll	100ms	1048576	3	5	5	0	101.505	111.279	111.279	124.980	517.707	103.657	20.022	5	0	0	0
layer	inotify	1s	128	1	30	30	0	0.194	0.293	0.340	0.691	6.894	10.211	148.110	87	0	0	0
layer	inotify	1s	128	2	30	30	0	0.466	0.644	0.733	1.540	16.334	22.540	137.990	81	0	0	0
layer	inotify	1s	128	3	30	30	0	0.613	1.021	1.323	1.478	21.127	29.211	138.261	82	0	0	0
