candidate	publishers	operations	repetition	elapsed_ns	ops_per_second
serialized	1	1000	0	556292	1797617.08
serialized	1	1000	1	769667	1299263.19
serialized	1	1000	2	697250	1434205.81
serialized	2	2000	0	1284000	1557632.40
serialized	2	2000	1	1415125	1413302.71
serialized	2	2000	2	1085708	1842115.93
serialized	8	8000	0	8715125	917944.38
serialized	8	8000	1	5193583	1540362.40
serialized	8	8000	2	5794250	1380679.12
serialized	32	32000	0	27109958	1180378.07
serialized	32	32000	1	26683916	1199224.28
serialized	32	32000	2	22859209	1399873.46
serialized	128	128000	0	96016959	1333097.83
serialized	128	128000	1	90569333	1413281.91
serialized	128	128000	2	90457625	1415027.20
global_mutex	1	1000	0	95042	10521664.11
global_mutex	1	1000	1	100541	9946191.11
global_mutex	1	1000	2	98916	10109587.93
global_mutex	2	2000	0	337917	5918613.15
global_mutex	2	2000	1	322667	6198340.70
global_mutex	2	2000	2	331583	6031672.31
global_mutex	8	8000	0	1434500	5576856.05
global_mutex	8	8000	1	1652500	4841149.77
global_mutex	8	8000	2	1526500	5240746.81
global_mutex	32	32000	0	6923584	4621883.69
global_mutex	32	32000	1	7838625	4082348.63
global_mutex	32	32000	2	8040958	3979625.31
global_mutex	128	128000	0	31353626	4082462.42
global_mutex	128	128000	1	30424125	4207187.55
global_mutex	128	128000	2	29437291	4348226.20
sharded	1	1000	0	120791	8278762.49
sharded	1	1000	1	119000	8403361.34
sharded	1	1000	2	110208	9073751.45
sharded	2	2000	0	376750	5308560.05
sharded	2	2000	1	377708	5295095.68
sharded	2	2000	2	374750	5336891.26
sharded	8	8000	0	1660917	4816616.36
sharded	8	8000	1	1543541	5182887.92
sharded	8	8000	2	1772209	4514140.26
sharded	32	32000	0	6807959	4700380.83
sharded	32	32000	1	6907958	4632338.53
sharded	32	32000	2	6718750	4762790.70
sharded	128	128000	0	27839791	4597735.67
sharded	128	128000	1	28981917	4416547.05
sharded	128	128000	2	28658375	4466408.16
atomic_family	1	1000	0	142000	7042253.52
atomic_family	1	1000	1	134375	7441860.47
atomic_family	1	1000	2	134541	7432678.51
atomic_family	2	2000	0	320708	6236202.40
atomic_family	2	2000	1	363291	5505228.59
atomic_family	2	2000	2	319791	6254084.70
atomic_family	8	8000	0	1181542	6770813.06
atomic_family	8	8000	1	1110833	7201802.61
atomic_family	8	8000	2	1049292	7624188.50
atomic_family	32	32000	0	5226958	6122107.73
atomic_family	32	32000	1	5347500	5984104.72
atomic_family	32	32000	2	5115125	6255956.60
atomic_family	128	128000	0	21165791	6047494.28
atomic_family	128	128000	1	19956875	6413829.82
atomic_family	128	128000	2	19155625	6682110.35
copy_on_write	1	1000	0	188375	5308560.05
copy_on_write	1	1000	1	200459	4988551.27
copy_on_write	1	1000	2	194041	5153550.02
copy_on_write	2	2000	0	380542	5255661.66
copy_on_write	2	2000	1	435417	4593297.92
copy_on_write	2	2000	2	368417	5428631.14
copy_on_write	8	8000	0	1511792	5291733.25
copy_on_write	8	8000	1	1720250	4650486.85
copy_on_write	8	8000	2	1552584	5152700.27
copy_on_write	32	32000	0	9681375	3305315.62
copy_on_write	32	32000	1	7346625	4355741.58
copy_on_write	32	32000	2	7819375	4092398.69
copy_on_write	128	128000	0	35554375	3600119.54
copy_on_write	128	128000	1	34842625	3673661.21
copy_on_write	128	128000	2	35851000	3570332.77
