candidate	publishers	samples	p50_ns	p95_ns	p99_ns
serialized	1	3	706	785	785
serialized	2	3	648	716	716
serialized	8	3	728	1092	1092
serialized	32	3	835	850	850
serialized	128	3	708	751	751
global_mutex	1	3	103	105	105
global_mutex	2	3	168	171	171
global_mutex	8	3	192	208	208
global_mutex	32	3	246	252	252
global_mutex	128	3	238	245	245
sharded	1	3	122	126	126
sharded	2	3	193	195	195
sharded	8	3	209	224	224
sharded	32	3	214	217	217
sharded	128	3	224	227	227
atomic_family	1	3	139	154	154
atomic_family	2	3	171	186	186
atomic_family	8	3	141	151	151
atomic_family	32	3	164	168	168
atomic_family	128	3	156	167	167
copy_on_write	1	3	203	203	203
copy_on_write	2	3	195	221	221
copy_on_write	8	3	201	217	217
copy_on_write	32	3	245	304	304
copy_on_write	128	3	278	281	281
