key	value
run_date_utc	2026-07-21T18:16:13Z
repository_head_sha	52908ecf4f6db49d0afb417d3a212a03395062e8
benchmark_scope_diff_clean	false
benchmark_scope_untracked_count	0
benchmark_code_fingerprint_sha256	7515b5d373b0228cdd58860c64498a16f96b24c98e7e0d8319e3477c05792075
docker_server_version	29.4.3
docker_info	linux/aarch64 ncpu=6 memory=8322269184
container_kernel	Linux b0c0fb434bcd 6.12.76-linuxkit #1 SMP Fri May  1 14:35:41 UTC 2026 aarch64 Linux
repeat_count	30
