protocol	producers	payload_bytes	messages	repetition	delivered	dropped_or_failed	wall_ms	msg_per_second	p50_us	p95_us	p99_us	cpu_ms	go_runtime_sys_kib	rss_kib	result
stream-line	1	64	2000	1	2000	0	2.679	746547.2	2.250	70.625	169.666	5.315	12630	6304	pass
stream-line	1	64	2000	2	2000	0	3.295	607003.3	12.042	293.250	509.875	7.034	12630	6952	pass
stream-line	1	64	2000	3	2000	0	3.777	529532.6	13.625	94.417	236.959	7.749	12630	7456	pass
stream-line	1	1024	2000	1	2000	0	6.915	289212.4	11.000	276.125	680.750	14.535	12886	11356	pass
stream-line	1	1024	2000	2	2000	0	4.726	423217.0	8.208	104.417	181.416	10.811	12886	10792	pass
stream-line	1	1024	2000	3	2000	0	6.058	330130.6	12.708	137.750	199.834	12.695	12886	10780	pass
stream-line	1	8192	500	1	500	0	6.794	73591.6	51.417	280.333	393.625	11.759	12886	10404	pass
stream-line	1	8192	500	2	500	0	7.652	65345.6	74.625	557.583	657.166	13.591	12886	10640	pass
stream-line	1	8192	500	3	500	0	4.512	110818.7	38.333	135.542	190.459	10.722	12886	10256	pass
stream-line	8	64	16000	1	16000	0	9.634	1660705.6	434.458	2352.584	4647.917	43.253	12886	10456	pass
stream-line	8	64	16000	2	16000	0	9.928	1611569.6	942.209	2563.000	2882.042	39.676	13142	11108	pass
stream-line	8	64	16000	3	16000	0	8.173	1957735.4	451.167	2755.292	4465.333	37.273	13142	11300	pass
stream-line	8	1024	16000	1	16000	0	30.249	528934.4	304.042	2581.542	3561.667	96.848	13142	9608	pass
stream-line	8	1024	16000	2	16000	0	25.192	635122.3	319.292	2192.458	2731.209	81.711	13142	9464	pass
stream-line	8	1024	16000	3	16000	0	25.361	630902.4	217.167	1977.875	3605.208	78.761	13142	9280	pass
stream-line	8	8192	4000	1	4000	0	40.667	98359.7	472.209	3985.291	4960.000	113.674	17238	9412	pass
stream-line	8	8192	4000	2	4000	0	41.974	95297.9	357.000	2905.500	3895.375	113.665	17238	9956	pass
stream-line	8	8192	4000	3	4000	0	41.366	96696.8	363.042	3042.125	4363.959	111.162	17238	10380	pass
stream-line	32	64	64000	1	64000	0	36.011	1777253.2	1167.000	11124.292	17709.792	151.702	17238	10384	pass
stream-line	32	64	64000	2	64000	0	37.059	1726962.3	2572.916	13449.042	18406.042	165.177	17238	9972	pass
stream-line	32	64	64000	3	64000	0	36.083	1773672.0	2919.250	16855.458	21295.375	168.515	17238	10968	pass
stream-line	32	1024	64000	1	64000	0	99.985	640093.6	340.750	10057.750	17241.333	365.427	21334	10120	pass
stream-line	32	1024	64000	2	64000	0	92.276	693571.1	236.125	10345.417	17790.750	339.554	21334	10028	pass
stream-line	32	1024	64000	3	64000	0	94.244	679086.5	218.209	9205.584	15005.459	337.667	25430	11924	pass
stream-line	32	8192	16000	1	16000	0	134.887	118617.7	333.041	14360.375	24658.708	444.800	25430	12124	pass
stream-line	32	8192	16000	2	16000	0	128.688	124331.7	355.625	13286.291	19902.792	431.198	29526	11968	pass
stream-line	32	8192	16000	3	16000	0	141.908	112748.9	363.917	13749.875	24228.084	469.331	29526	11684	pass
stream-framed	1	64	2000	1	2000	0	4.829	414164.4	223.042	361.458	365.834	9.171	29526	11692	pass
stream-framed	1	64	2000	2	2000	0	4.623	432576.7	291.708	381.750	403.833	7.348	29526	11692	pass
stream-framed	1	64	2000	3	2000	0	4.813	415562.8	235.875	547.166	584.083	8.368	29526	10944	pass
stream-framed	1	1024	2000	1	2000	0	6.680	299384.4	99.459	340.709	383.958	13.247	29526	11692	pass
stream-framed	1	1024	2000	2	2000	0	6.254	319776.2	123.375	211.625	331.709	11.195	29526	11932	pass
stream-framed	1	1024	2000	3	2000	0	6.335	315731.3	98.708	330.375	427.167	11.354	29526	11812	pass
stream-framed	1	8192	500	1	500	0	7.323	68280.0	73.834	320.917	478.625	13.828	29526	12072	pass
stream-framed	1	8192	500	2	500	0	7.415	67432.8	135.250	316.750	397.041	15.651	29526	10896	pass
stream-framed	1	8192	500	3	500	0	7.134	70088.5	108.500	442.291	506.250	14.482	29526	11332	pass
stream-framed	8	64	16000	1	16000	0	13.348	1198707.7	822.458	2308.500	2601.917	56.543	29526	11440	pass
stream-framed	8	64	16000	2	16000	0	14.120	1133104.4	922.625	2097.917	2630.792	57.602	29526	11540	pass
stream-framed	8	64	16000	3	16000	0	14.802	1080953.3	595.208	2362.959	3408.000	55.965	29526	12008	pass
stream-framed	8	1024	16000	1	16000	0	37.792	423371.9	568.333	2481.792	4674.750	117.318	29526	11832	pass
stream-framed	8	1024	16000	2	16000	0	38.447	416158.7	581.000	2486.625	3793.375	121.164	29526	11944	pass
stream-framed	8	1024	16000	3	16000	0	38.846	411880.6	569.666	2272.666	3850.291	122.281	29526	11792	pass
stream-framed	8	8192	4000	1	4000	0	56.728	70511.5	1049.458	3823.333	5348.958	154.867	29526	13248	pass
stream-framed	8	8192	4000	2	4000	0	54.504	73389.3	730.625	3620.709	6277.416	150.902	29526	11936	pass
stream-framed	8	8192	4000	3	4000	0	52.980	75500.2	882.166	3434.917	4938.042	141.749	29526	12296	pass
stream-framed	32	64	64000	1	64000	0	51.296	1247667.7	3610.500	9153.750	11625.041	250.425	29526	11904	pass
stream-framed	32	64	64000	2	64000	0	52.178	1226563.7	2893.083	10234.958	16591.459	225.616	29526	12596	pass
stream-framed	32	64	64000	3	64000	0	47.580	1345115.9	2652.542	9393.000	12238.417	223.649	29526	11744	pass
stream-framed	32	1024	64000	1	64000	0	159.756	400612.0	673.583	11941.291	18511.625	523.943	29526	12004	pass
stream-framed	32	1024	64000	2	64000	0	157.097	407390.5	611.375	11929.291	20046.125	517.723	29526	12660	pass
stream-framed	32	1024	64000	3	64000	0	157.402	406603.4	689.084	12199.417	19691.333	511.878	29526	11412	pass
stream-framed	32	8192	16000	1	16000	0	234.581	68206.9	4333.208	18477.875	25884.875	634.887	29526	11572	pass
stream-framed	32	8192	16000	2	16000	0	281.082	56922.9	4416.084	20237.750	34653.750	761.936	29526	12580	pass
stream-framed	32	8192	16000	3	16000	0	291.379	54911.3	5041.333	21273.333	31668.208	824.495	29526	12484	pass
datagram-line	1	64	2000	1	2000	0	4.786	417856.4	9.541	38.583	94.458	5.880	29526	11812	pass
datagram-line	1	64	2000	2	2000	0	4.539	440585.2	9.333	18.959	26.208	3.589	29526	11068	pass
datagram-line	1	64	2000	3	2000	0	3.986	501813.8	9.375	18.542	22.500	3.562	29526	11068	pass
datagram-line	1	1024	2000	1	2000	0	6.351	314929.6	12.709	52.250	111.792	9.833	29526	11168	pass
datagram-line	1	1024	2000	2	2000	0	6.634	301458.3	19.333	60.041	119.167	11.766	29526	11832	pass
