candidate	publishers	samples	p50_ns	p95_ns	p99_ns
serialized	1	10	555	580	580
serialized	2	10	537	595	595
serialized	8	10	698	769	769
serialized	32	10	814	937	937
serialized	128	10	743	937	937
global_mutex	1	10	96	100	100
global_mutex	2	10	176	188	188
global_mutex	8	10	218	232	232
global_mutex	32	10	248	259	259
global_mutex	128	10	242	267	267
sharded	1	10	108	113	113
sharded	2	10	176	195	195
sharded	8	10	196	205	205
sharded	32	10	208	224	224
sharded	128	10	218	225	225
atomic_family	1	10	94	113	113
atomic_family	2	10	158	194	194
atomic_family	8	10	151	156	156
atomic_family	32	10	148	159	159
atomic_family	128	10	148	150	150
copy_on_write	1	10	143	176	176
copy_on_write	2	10	172	178	178
copy_on_write	8	10	209	227	227
copy_on_write	32	10	287	297	297
copy_on_write	128	10	320	330	330
