case	assertion	expected	actual	result
startup	health_ready	true	true	pass
formats	prometheus_content_type	true	true	pass
formats	openmetrics_content_type	true	true	pass
formats	openmetrics_eof	true	true	pass
formats	help_and_type	true	true	pass
formats	classic_histogram	true	true	pass
formats	promtool_check_metrics	0	0	pass
optional_timestamp	install_status	204	204	pass
optional_timestamp	preserved	true	true	pass
malformed_candidate	rejected	400	400	pass
malformed_candidate	last_valid_retained	true	true	pass
concurrent_replace	complete_single_snapshot	true	true	pass
multiple_scrapers	all_32_succeeded	0	0	pass
compression	negotiated	true	true	pass
slow_client	server_survives	true	true	pass
aborted_client	server_survives	true	true	pass
response_limit	preflight_503	503	503	pass
response_limit	bounded_body	true	true	pass
