round	winners	freeze_count	p50_ms	p95_ms	p99_ms
1	1	1	0.001642	0.001948	0.003817
2	1	1	0.001653	0.001707	0.001776
3	1	1	0.001652	0.004280	0.006564
4	1	1	0.001619	0.005103	0.006566
5	1	1	0.001669	0.002267	0.003625
6	1	1	0.001558	0.002105	0.014059
7	1	1	0.001660	0.001687	0.001802
8	1	1	0.001672	0.002177	0.002615
9	1	1	0.001662	0.001715	0.001892
10	1	1	0.001664	0.002188	0.003378
11	1	1	0.001657	0.001710	0.001845
12	1	1	0.001660	0.002035	0.004272
13	1	1	0.001654	0.001709	0.001734
14	1	1	0.001658	0.002209	0.031733
15	1	1	0.001661	0.001713	0.001738
16	1	1	0.001653	0.001912	0.002951
17	1	1	0.001655	0.001711	0.001741
18	1	1	0.001219	0.001513	0.002086
19	1	1	0.001330	0.001385	0.001456
20	1	1	0.001337	0.001798	0.003870
21	1	1	0.001330	0.001487	0.001643
22	1	1	0.001335	0.001411	0.001839
23	1	1	0.001331	0.001506	0.001617
24	1	1	0.001328	0.001370	0.001385
25	1	1	0.001332	0.001379	0.001432
26	1	1	0.001348	0.001803	0.003639
27	1	1	0.001328	0.001376	0.001383
28	1	1	0.001336	0.001361	0.001394
29	1	1	0.001328	0.001370	0.001819
30	1	1	0.001337	0.001417	0.001832
