budget_us	operation_cost_us	committed	elapsed_ms
0	0	true	0.002198
0	1	false	0.001528
0	5	false	0.001503
0	25	false	0.001541
0	100	false	0.001510
0	250	false	0.001512
1	0	true	0.001529
1	1	true	0.028464
1	5	false	0.001526
1	25	false	0.001516
1	100	false	0.001517
1	250	false	0.001509
5	0	true	0.001534
5	1	true	0.005955
5	5	true	0.009608
5	25	false	0.002265
5	100	false	0.002238
5	250	false	0.001858
25	0	true	0.002016
25	1	true	0.023549
25	5	true	0.060119
25	25	true	1.891247
25	100	false	0.002233
25	250	false	0.001860
100	0	true	0.001888
100	1	true	0.022925
100	5	true	0.042726
100	25	true	0.084446
100	100	true	1.819088
100	250	false	0.001916
