iteration	host_port	http_code	curl_exit_code	container_exit_code
1	52851	200	0	0
2	52855	200	0	0
3	52859	200	0	0
4	52863	200	0	0
5	52867	200	0	0
6	52871	200	0	0
7	52875	200	0	0
8	52879	200	0	0
9	52883	200	0	0
10	52887	200	0	0
