transport	profile	scenario	operations	passed	wall_elapsed_ns	aggregate_ops_s	p50_us	p95_us	p99_us
file	publish-only	baseline	500	500	150239082	3328.0	111.453	1058.916	4162.222
file	publish-only	multi4	2000	2000	250590175	7981.2	138.617	1434.645	9424.030
file	publish-only	payload1k	500	500	69593192	7184.6	92.473	323.674	1134.821
file	publish-only	payload16k	500	500	120796624	4139.2	121.224	485.949	2675.620
file	consumer-observed	baseline	500	500	56081248	8915.6	110.210	151.584	212.376
file	consumer-observed	multi4	2000	1994	352465872	5674.3	110.806	172.496	231.471
file	consumer-observed	payload1k	500	500	59397476	8417.9	110.676	158.887	261.545
file	consumer-observed	payload16k	500	500	72677595	6879.7	125.529	238.885	368.354
unix-stream	publish-only	baseline	500	500	26902935	18585.3	21.032	29.055	35.842
unix-stream	publish-only	multi4	2000	2000	53533295	37359.9	12.804	20.136	32.593
unix-stream	publish-only	payload1k	500	500	7655234	65314.8	13.134	21.544	48.364
unix-stream	publish-only	payload16k	500	500	15283748	32714.5	16.590	77.377	267.388
unix-stream	consumer-observed	baseline	500	500	60846991	8217.3	69.317	347.134	422.273
unix-stream	consumer-observed	multi4	2000	2000	53719621	37230.3	94.840	194.644	293.449
unix-stream	consumer-observed	payload1k	500	500	20314667	24612.8	32.329	76.643	106.718
unix-stream	consumer-observed	payload16k	500	500	35327170	14153.4	43.145	137.138	648.433
unix-stream	acknowledged	baseline	500	500	24895129	20084.3	41.323	74.891	88.654
unix-stream	acknowledged	multi4	2000	2000	48711865	41057.8	85.301	159.803	206.523
unix-stream	acknowledged	payload1k	500	500	23600934	21185.6	40.637	76.898	120.239
unix-stream	acknowledged	payload16k	500	500	32059500	15596.0	49.592	133.615	225.970
unix-dgram	publish-only	baseline	500	500	7892367	63352.4	14.194	18.068	27.765
unix-dgram	publish-only	multi4	2000	2000	15357462	130229.9	11.675	37.325	396.421
unix-dgram	publish-only	payload1k	500	500	7840685	63769.9	14.341	21.765	37.941
unix-dgram	publish-only	payload16k	500	500	11064286	45190.4	16.920	34.634	77.733
unix-dgram	consumer-observed	baseline	500	500	11052565	45238.4	16.985	40.548	62.738
unix-dgram	consumer-observed	multi4	2000	2000	25848753	77373.2	50.982	89.870	121.400
unix-dgram	consumer-observed	payload1k	500	500	12146800	41163.1	17.677	42.287	65.864
unix-dgram	consumer-observed	payload16k	500	500	39498914	12658.6	63.161	165.274	390.204
http	acknowledged	baseline	500	500	34639430	14434.4	51.697	153.210	231.362
http	acknowledged	multi4	2000	2000	57050910	35056.4	100.171	210.742	399.324
http	acknowledged	payload1k	500	500	31106766	16073.7	44.398	131.929	162.671
http	acknowledged	payload16k	500	500	49456214	10110.0	67.835	179.537	650.181
grpc	acknowledged	baseline	500	500	52225220	9573.9	68.163	324.494	555.286
grpc	acknowledged	multi4	2000	2000	58474447	34203.0	98.897	206.720	517.949
grpc	acknowledged	payload1k	500	500	25010570	19991.5	39.532	81.615	153.399
grpc	acknowledged	payload16k	500	500	63165901	7915.7	54.637	487.769	959.621
shared-memory	publish-only	baseline	500	500	349636	1430058.7	0.254	0.422	0.435
shared-memory	publish-only	multi4	2000	2000	1342832	1489389.6	0.268	0.433	0.567
shared-memory	publish-only	payload1k	500	500	1119340	446691.8	0.197	0.330	0.650
shared-memory	publish-only	payload16k	500	500	840643	594782.8	1.179	1.418	2.131
shared-memory	consumer-observed	baseline	500	500	1499710	333397.8	2.335	3.294	17.304
shared-memory	consumer-observed	multi4	2000	1994	300492308	6655.7	0.988	2.527	6.867
shared-memory	consumer-observed	payload1k	500	500	483983	1033094.1	0.831	1.287	2.143
shared-memory	consumer-observed	payload16k	500	500	734842	680418.4	1.256	1.670	2.443
mmap	publish-only	baseline	500	500	72364	6909513.0	0.045	0.046	0.047
mmap	publish-only	multi4	2000	2000	288761	6926143.1	0.057	0.084	0.118
mmap	publish-only	payload1k	500	500	90076	5550868.2	0.054	0.055	0.060
mmap	publish-only	payload16k	500	500	277580	1801282.5	0.407	0.434	0.445
mmap	consumer-observed	baseline	500	500	622700	802954.9	0.891	1.400	1.682
mmap	consumer-observed	multi4	2000	1994	300587594	6653.6	0.884	1.281	4.097
mmap	consumer-observed	payload1k	500	500	550132	908872.8	0.891	1.248	1.770
mmap	consumer-observed	payload16k	500	500	733441	681718.1	1.284	1.500	1.916
