candidate	publishers	operations	elapsed_ns	valid
serialized	32	9600	7450751	true
global_mutex	32	9600	515108	true
sharded	32	9600	1012232	true
atomic_family	32	9600	702929	true
copy_on_write	32	9600	2323174	true
