experiment	assertion	expected	actual	result
candidate	all_candidates_exercised	4	4	pass
candidate	bounded_hybrid_is_bounded	true	true	pass
E-020.1	freeze_once	1	1	pass
E-020.1	final_contains_committed	5	5	pass
E-020.1	first_freeze_installs	true	true	pass
E-020.1	second_freeze_noop	false	false	pass
E-020.1	late_rejected	false	false	pass
E-020.2	partial_never_mutates	0	0	pass
E-020.2	ack_loss_is_unknown	unknown	unknown	pass
E-020.2	committed_survives_ack_loss	1	1	pass
E-020.2	all_race_stages_covered	6	6	pass
E-020.2	drain_matrix_complete	30	30	pass
E-020.3	all_late_publishers_rejected	0	0	pass
E-020.3	late_storm_snapshot_immutable	11	11	pass
E-020.4	conversion_failure_not_installed	7	7	pass
E-020.4	validation_failure_not_installed	7	7	pass
E-020.4	install_failure_not_installed	7	7	pass
E-020.5	final_scrape_matrix_complete	21	21	pass
E-020.5	application_immutable	13	13	pass
E-020.5	self_metrics_continue	1	1	pass
E-020.6	restart_repetitions	30	30	pass
E-020.6	new_epoch_empty	true	true	pass
E-020.7	kubernetes_matrix_complete	4	4	pass
E-020.7	no_kubernetes_api_dependency	false	false	pass
additional	single_freeze_round_01	1	1	pass
additional	single_freeze_round_02	1	1	pass
additional	single_freeze_round_03	1	1	pass
additional	single_freeze_round_04	1	1	pass
additional	single_freeze_round_05	1	1	pass
additional	single_freeze_round_06	1	1	pass
additional	single_freeze_round_07	1	1	pass
additional	single_freeze_round_08	1	1	pass
additional	single_freeze_round_09	1	1	pass
additional	single_freeze_round_10	1	1	pass
additional	single_freeze_round_11	1	1	pass
additional	single_freeze_round_12	1	1	pass
additional	single_freeze_round_13	1	1	pass
additional	single_freeze_round_14	1	1	pass
additional	single_freeze_round_15	1	1	pass
additional	single_freeze_round_16	1	1	pass
additional	single_freeze_round_17	1	1	pass
additional	single_freeze_round_18	1	1	pass
additional	single_freeze_round_19	1	1	pass
additional	single_freeze_round_20	1	1	pass
additional	single_freeze_round_21	1	1	pass
additional	single_freeze_round_22	1	1	pass
additional	single_freeze_round_23	1	1	pass
additional	single_freeze_round_24	1	1	pass
additional	single_freeze_round_25	1	1	pass
additional	single_freeze_round_26	1	1	pass
additional	single_freeze_round_27	1	1	pass
additional	single_freeze_round_28	1	1	pass
additional	single_freeze_round_29	1	1	pass
additional	single_freeze_round_30	1	1	pass
