strategy	series	operations	mutation_ms	encoding_ms	core_install_ms	scrape_ms	encoded_bytes
reencode_each_mutation	100	2000	4.988	322.993	0.008	0.001087	10084
materialize_on_scrape	100	2000	0.079	0.142	0.009	0.001053	10084
generation_cache	100	2000	0.068	0.133	0.008	0.001045	10084
copy_on_write	100	2000	14.212	0.136	0.002	0.001068	10084
reencode_each_mutation	1000	2000	6.886	3413.303	0.013	0.001060	101721
materialize_on_scrape	1000	2000	0.069	1.283	0.012	0.001073	101721
generation_cache	1000	2000	0.069	1.280	0.014	0.001067	101721
copy_on_write	1000	2000	121.450	1.301	0.009	0.001063	101721
reencode_each_mutation	10000	200	1.056	3804.221	0.174	0.001067	1057819
materialize_on_scrape	10000	2000	0.072	17.344	0.164	0.001119	1059354
generation_cache	10000	2000	0.072	19.305	2.025	0.001106	1059354
copy_on_write	10000	200	176.870	17.310	0.169	0.001070	1057819
