series	buckets	alloc_delta_bytes	encoded_bytes	build_ms	mutation_ms
100	1	6768	2980	0.007	0.002
100	10	9408	9520	0.006	0.003
100	50	19968	39760	0.009	0.004
100	100	35808	77593	0.017	0.006
1000	1	62768	31781	0.076	0.009
1000	10	89408	100721	0.056	0.013
1000	50	195968	418961	0.483	0.028
1000	100	355808	817094	0.150	0.206
5000	1	313472	167757	0.195	0.040
5000	10	446752	525958	0.182	0.058
5000	50	979872	2177198	0.739	0.143
5000	100	1779552	4242914	0.852	0.331
