replica	pod	evaluation_time_unix	query_status	series_present	sample_value
0	prometheus-inv012-monitoring-kube-pro-prometheus-0	1785767935	success	true	42
1	prometheus-inv012-monitoring-kube-pro-prometheus-1	1785767935	success	true	42
