round	winners	freeze_count	p50_ms	p95_ms	p99_ms
1	1	1	0.000042	0.000084	0.000167
2	1	1	0.000042	0.000083	0.000084
3	1	1	0.000042	0.000083	0.000084
4	1	1	0.000042	0.000084	0.000084
5	1	1	0.000042	0.000083	0.000084
6	1	1	0.000042	0.000083	0.000084
7	1	1	0.000042	0.000083	0.000084
8	1	1	0.000042	0.000084	0.000084
9	1	1	0.000042	0.000250	0.000458
10	1	1	0.000042	0.000208	0.000291
11	1	1	0.000167	0.000209	0.000250
12	1	1	0.000209	0.000375	0.000458
13	1	1	0.000083	0.000416	0.000417
14	1	1	0.000083	0.000167	0.000209
15	1	1	0.000083	0.000166	0.000167
16	1	1	0.000083	0.000125	0.000167
17	1	1	0.000042	0.000125	0.000209
18	1	1	0.000042	0.000083	0.000084
19	1	1	0.000042	0.000208	0.000375
20	1	1	0.000042	0.000334	0.000458
21	1	1	0.000083	0.000292	0.000417
22	1	1	0.000083	0.000125	0.000208
23	1	1	0.000209	0.000292	0.000292
24	1	1	0.000084	0.000333	0.000459
25	1	1	0.000042	0.000209	0.000458
26	1	1	0.000083	0.000458	0.000584
27	1	1	0.000083	0.000250	0.000583
28	1	1	0.000042	0.000083	0.000084
29	1	1	0.000083	0.000167	0.000292
30	1	1	0.000083	0.000250	0.000250
