case	init	process_group	subreaper	signal	expected	exit_code	duration_ms	result
signal_direct_pid1	no-init	no-pg	no-subreaper	TERM	0	0	4689	pass
signal_direct_pg	no-init	pg	no-subreaper	TERM	0	0	4734	pass
signal_direct_pg_init	docker-init	pg	no-subreaper	TERM	0	0	4821	pass
signal_direct_pg_init_subreaper	docker-init	pg	subreaper	TERM	0	0	4987	pass
signal_shell_script_pg	no-init	pg	no-subreaper	TERM	143	143	4972	pass
signal_shell_no_pg	no-init	no-pg	no-subreaper	TERM	143	143	4826	pass
signal_shell_pg	no-init	pg	no-subreaper	TERM	143	143	5010	pass
signal_shell_pg_init	docker-init	pg	no-subreaper	TERM	143	143	4807	pass
signal_bash_pg	no-init	pg	no-subreaper	TERM	143	143	4518	pass
reap_short_children_200	no-init	no-pg	no-subreaper	none	0	0	4322	pass
child_churn_1000	no-init	no-pg	no-subreaper	none	0	0	4340	pass
child_churn_10000	no-init	no-pg	no-subreaper	none	0	0	5663	pass
double_fork_pid1_no_subreaper	no-init	no-pg	no-subreaper	none	0	0	4398	pass
double_fork_no_subreaper_init	docker-init	no-pg	no-subreaper	none	0	0	4391	pass
double_fork_subreaper_init	docker-init	no-pg	subreaper	none	0	0	4546	pass
exit_zero	no-init	no-pg	no-subreaper	none	0	0	4378	pass
exit_17	no-init	no-pg	no-subreaper	none	17	17	4191	pass
sigkill	no-init	no-pg	no-subreaper	KILL	137	137	3992	pass
shutdown_grace_forced_kill	no-init	no-pg	no-subreaper	TERM	137	137	5001	pass
start_failure	no-init	no-pg	no-subreaper	none	127	127	3809	pass
internal_failure	no-init	no-pg	no-subreaper	none	70	70	3853	pass
post_exit_survival	no-init	no-pg	no-subreaper	none	17	17	7725	pass
repeat_signal_direct_pg_1	no-init	pg	no-subreaper	TERM	0	0	4701	pass
repeat_signal_direct_pg_2	no-init	pg	no-subreaper	TERM	0	0	4512	pass
repeat_signal_direct_pg_3	no-init	pg	no-subreaper	TERM	0	0	4901	pass
repeat_signal_direct_pg_4	no-init	pg	no-subreaper	TERM	0	0	4544	pass
repeat_signal_direct_pg_5	no-init	pg	no-subreaper	TERM	0	0	4490	pass
repeat_signal_direct_pg_6	no-init	pg	no-subreaper	TERM	0	0	4704	pass
repeat_signal_direct_pg_7	no-init	pg	no-subreaper	TERM	0	0	4534	pass
repeat_signal_direct_pg_8	no-init	pg	no-subreaper	TERM	0	0	4911	pass
repeat_signal_direct_pg_9	no-init	pg	no-subreaper	TERM	0	0	11274	pass
repeat_signal_direct_pg_10	no-init	pg	no-subreaper	TERM	0	0	11202	pass
repeat_signal_direct_pg_11	no-init	pg	no-subreaper	TERM	0	0	10769	pass
repeat_signal_direct_pg_12	no-init	pg	no-subreaper	TERM	0	0	11314	pass
repeat_signal_direct_pg_13	no-init	pg	no-subreaper	TERM	0	0	11445	pass
repeat_signal_direct_pg_14	no-init	pg	no-subreaper	TERM	0	0	16759	pass
repeat_signal_direct_pg_15	no-init	pg	no-subreaper	TERM	0	0	18477	pass
repeat_signal_direct_pg_16	no-init	pg	no-subreaper	TERM	0	0	27959	pass
repeat_signal_direct_pg_17	no-init	pg	no-subreaper	TERM	0	0	27816	pass
repeat_signal_direct_pg_18	no-init	pg	no-subreaper	TERM	0	0	18885	pass
repeat_signal_direct_pg_19	no-init	pg	no-subreaper	TERM	0	0	15086	pass
repeat_signal_direct_pg_20	no-init	pg	no-subreaper	TERM	0	0	16881	pass
repeat_signal_direct_pg_21	no-init	pg	no-subreaper	TERM	0	0	27894	pass
repeat_signal_direct_pg_22	no-init	pg	no-subreaper	TERM	0	0	9599	pass
repeat_signal_direct_pg_23	no-init	pg	no-subreaper	TERM	0	0	10305	pass
repeat_signal_direct_pg_24	no-init	pg	no-subreaper	TERM	0	0	10190	pass
repeat_signal_direct_pg_25	no-init	pg	no-subreaper	TERM	0	0	10686	pass
repeat_signal_direct_pg_26	no-init	pg	no-subreaper	TERM	0	0	10314	pass
repeat_signal_direct_pg_27	no-init	pg	no-subreaper	TERM	0	0	9809	pass
repeat_signal_direct_pg_28	no-init	pg	no-subreaper	TERM	0	0	9820	pass
repeat_signal_direct_pg_29	no-init	pg	no-subreaper	TERM	0	0	9942	pass
repeat_signal_direct_pg_30	no-init	pg	no-subreaper	TERM	0	0	9773	pass
