case	assertion	expected	actual	result
signal_direct_pid1	exit_code	0	0	pass
signal_direct_pid1	startup_ready	true	true	pass
signal_direct_pid1	workload_term	true	true	pass
signal_direct_pg	exit_code	0	0	pass
signal_direct_pg	startup_ready	true	true	pass
signal_direct_pg	workload_term	true	true	pass
signal_direct_pg_init	exit_code	0	0	pass
signal_direct_pg_init	startup_ready	true	true	pass
signal_direct_pg_init	workload_term	true	true	pass
signal_direct_pg_init_subreaper	exit_code	0	0	pass
signal_direct_pg_init_subreaper	startup_ready	true	true	pass
signal_direct_pg_init_subreaper	workload_term	true	true	pass
signal_shell_script_pg	exit_code	143	143	pass
signal_shell_script_pg	startup_ready	true	true	pass
signal_shell_script_pg	workload_term	true	true	pass
signal_shell_no_pg	exit_code	143	143	pass
signal_shell_no_pg	startup_ready	true	true	pass
signal_shell_pg	exit_code	143	143	pass
signal_shell_pg	startup_ready	true	true	pass
signal_shell_pg	shell_parent_term	true	true	pass
signal_shell_pg	grandchild_term	true	true	pass
signal_shell_pg_init	exit_code	143	143	pass
signal_shell_pg_init	startup_ready	true	true	pass
signal_shell_pg_init	shell_parent_term	true	true	pass
signal_shell_pg_init	grandchild_term	true	true	pass
signal_bash_pg	exit_code	143	143	pass
signal_bash_pg	startup_ready	true	true	pass
signal_bash_pg	shell_parent_term	true	true	pass
signal_bash_pg	grandchild_term	true	true	pass
reap_short_children_200	exit_code	0	0	pass
child_churn_1000	exit_code	0	0	pass
child_churn_10000	exit_code	0	0	pass
double_fork_pid1_no_subreaper	exit_code	0	0	pass
double_fork_pid1_no_subreaper	descendant_reaped_exit23	true	true	pass
double_fork_no_subreaper_init	exit_code	0	0	pass
double_fork_no_subreaper_init	descendant_reaped	false	false	pass
double_fork_subreaper_init	exit_code	0	0	pass
double_fork_subreaper_init	descendant_reaped_exit23	true	true	pass
exit_zero	exit_code	0	0	pass
exit_17	exit_code	17	17	pass
sigkill	exit_code	137	137	pass
sigkill	startup_ready	true	true	pass
shutdown_grace_forced_kill	exit_code	137	137	pass
shutdown_grace_forced_kill	startup_ready	true	true	pass
shutdown_grace_forced_kill	stubborn_signal_ignored	true	true	pass
shutdown_grace_forced_kill	force_kill_sent	true	true	pass
start_failure	exit_code	127	127	pass
internal_failure	exit_code	70	70	pass
post_exit_survival	exit_code	17	17	pass
post_exit_survival	metrics_http_code	200	200	pass
post_exit_survival	metrics_workload_exit_code	17	17	pass
repeat_signal_direct_pg_1	exit_code	0	0	pass
repeat_signal_direct_pg_1	startup_ready	true	true	pass
repeat_signal_direct_pg_1	workload_term	true	true	pass
repeat_signal_direct_pg_2	exit_code	0	0	pass
repeat_signal_direct_pg_2	startup_ready	true	true	pass
repeat_signal_direct_pg_2	workload_term	true	true	pass
repeat_signal_direct_pg_3	exit_code	0	0	pass
repeat_signal_direct_pg_3	startup_ready	true	true	pass
repeat_signal_direct_pg_3	workload_term	true	true	pass
repeat_signal_direct_pg_4	exit_code	0	0	pass
repeat_signal_direct_pg_4	startup_ready	true	true	pass
repeat_signal_direct_pg_4	workload_term	true	true	pass
repeat_signal_direct_pg_5	exit_code	0	0	pass
repeat_signal_direct_pg_5	startup_ready	true	true	pass
repeat_signal_direct_pg_5	workload_term	true	true	pass
repeat_signal_direct_pg_6	exit_code	0	0	pass
repeat_signal_direct_pg_6	startup_ready	true	true	pass
repeat_signal_direct_pg_6	workload_term	true	true	pass
repeat_signal_direct_pg_7	exit_code	0	0	pass
repeat_signal_direct_pg_7	startup_ready	true	true	pass
repeat_signal_direct_pg_7	workload_term	true	true	pass
repeat_signal_direct_pg_8	exit_code	0	0	pass
repeat_signal_direct_pg_8	startup_ready	true	true	pass
repeat_signal_direct_pg_8	workload_term	true	true	pass
repeat_signal_direct_pg_9	exit_code	0	0	pass
repeat_signal_direct_pg_9	startup_ready	true	true	pass
repeat_signal_direct_pg_9	workload_term	true	true	pass
repeat_signal_direct_pg_10	exit_code	0	0	pass
repeat_signal_direct_pg_10	startup_ready	true	true	pass
repeat_signal_direct_pg_10	workload_term	true	true	pass
repeat_signal_direct_pg_11	exit_code	0	0	pass
repeat_signal_direct_pg_11	startup_ready	true	true	pass
repeat_signal_direct_pg_11	workload_term	true	true	pass
repeat_signal_direct_pg_12	exit_code	0	0	pass
repeat_signal_direct_pg_12	startup_ready	true	true	pass
repeat_signal_direct_pg_12	workload_term	true	true	pass
repeat_signal_direct_pg_13	exit_code	0	0	pass
repeat_signal_direct_pg_13	startup_ready	true	true	pass
repeat_signal_direct_pg_13	workload_term	true	true	pass
repeat_signal_direct_pg_14	exit_code	0	0	pass
repeat_signal_direct_pg_14	startup_ready	true	true	pass
repeat_signal_direct_pg_14	workload_term	true	true	pass
repeat_signal_direct_pg_15	exit_code	0	0	pass
repeat_signal_direct_pg_15	startup_ready	true	true	pass
repeat_signal_direct_pg_15	workload_term	true	true	pass
repeat_signal_direct_pg_16	exit_code	0	0	pass
repeat_signal_direct_pg_16	startup_ready	true	true	pass
repeat_signal_direct_pg_16	workload_term	true	true	pass
repeat_signal_direct_pg_17	exit_code	0	0	pass
repeat_signal_direct_pg_17	startup_ready	true	true	pass
repeat_signal_direct_pg_17	workload_term	true	true	pass
repeat_signal_direct_pg_18	exit_code	0	0	pass
repeat_signal_direct_pg_18	startup_ready	true	true	pass
repeat_signal_direct_pg_18	workload_term	true	true	pass
repeat_signal_direct_pg_19	exit_code	0	0	pass
repeat_signal_direct_pg_19	startup_ready	true	true	pass
repeat_signal_direct_pg_19	workload_term	true	true	pass
repeat_signal_direct_pg_20	exit_code	0	0	pass
repeat_signal_direct_pg_20	startup_ready	true	true	pass
repeat_signal_direct_pg_20	workload_term	true	true	pass
repeat_signal_direct_pg_21	exit_code	0	0	pass
repeat_signal_direct_pg_21	startup_ready	true	true	pass
repeat_signal_direct_pg_21	workload_term	true	true	pass
repeat_signal_direct_pg_22	exit_code	0	0	pass
repeat_signal_direct_pg_22	startup_ready	true	true	pass
repeat_signal_direct_pg_22	workload_term	true	true	pass
repeat_signal_direct_pg_23	exit_code	0	0	pass
repeat_signal_direct_pg_23	startup_ready	true	true	pass
repeat_signal_direct_pg_23	workload_term	true	true	pass
repeat_signal_direct_pg_24	exit_code	0	0	pass
repeat_signal_direct_pg_24	startup_ready	true	true	pass
repeat_signal_direct_pg_24	workload_term	true	true	pass
repeat_signal_direct_pg_25	exit_code	0	0	pass
repeat_signal_direct_pg_25	startup_ready	true	true	pass
repeat_signal_direct_pg_25	workload_term	true	true	pass
repeat_signal_direct_pg_26	exit_code	0	0	pass
repeat_signal_direct_pg_26	startup_ready	true	true	pass
repeat_signal_direct_pg_26	workload_term	true	true	pass
repeat_signal_direct_pg_27	exit_code	0	0	pass
repeat_signal_direct_pg_27	startup_ready	true	true	pass
repeat_signal_direct_pg_27	workload_term	true	true	pass
repeat_signal_direct_pg_28	exit_code	0	0	pass
repeat_signal_direct_pg_28	startup_ready	true	true	pass
repeat_signal_direct_pg_28	workload_term	true	true	pass
repeat_signal_direct_pg_29	exit_code	0	0	pass
repeat_signal_direct_pg_29	startup_ready	true	true	pass
repeat_signal_direct_pg_29	workload_term	true	true	pass
repeat_signal_direct_pg_30	exit_code	0	0	pass
repeat_signal_direct_pg_30	startup_ready	true	true	pass
repeat_signal_direct_pg_30	workload_term	true	true	pass
