transport	concurrent_publishers	snapshot_bytes	publications	elapsed_ns	accepted_snapshots_per_second	end_to_end_p50_ns	end_to_end_p95_ns	end_to_end_p99_ns	errors	accepted_snapshots	active_reader_reads	active_reader_bad_reads
mmap_file	1	128	500	4216770	118574	4111	12040	25945	0	500	6358	0
mmap_tmpfs	1	128	500	4499659	111120	4808	11608	23546	0	500	5216	0
unix_socket	1	128	500	23964699	20864	42151	67693	84405	0	500	20402	0
mmap_file	8	128	4000	11359274	352135	15230	51151	97388	0	4000	1945	0
mmap_tmpfs	8	128	4000	11735595	340843	13756	45409	84908	0	4000	2024	0
unix_socket	8	128	4000	31666136	126318	50979	108690	175422	0	4000	26169	0
mmap_file	1	4096	100	3582064	27917	13688	53780	467382	0	100	1205	0
mmap_tmpfs	1	4096	100	3247561	30792	21816	51483	73313	0	100	1183	0
unix_socket	1	4096	100	15370677	6506	131202	230927	294630	0	100	4242	0
mmap_file	8	4096	800	32551669	24576	187749	929502	1668922	0	800	3150	0
mmap_tmpfs	8	4096	800	28431744	28138	125120	990647	1654633	0	800	2774	0
unix_socket	8	4096	800	34023238	23513	195558	916260	1884060	0	800	5923	0
mmap_file	1	65536	20	5123708	3903	214645	343222	343222	0	20	185	0
mmap_tmpfs	1	65536	20	5490786	3642	166087	424825	424825	0	20	178	0
unix_socket	1	65536	20	7990773	2503	242113	1119500	1119500	0	20	206	0
mmap_file	8	65536	160	69907565	2289	3356855	5495073	6864826	0	160	1664	0
mmap_tmpfs	8	65536	160	55782064	2868	2528079	4924358	5423752	0	160	1161	0
unix_socket	8	65536	160	40148017	3985	1698760	4399511	4910996	0	160	692	0
