transport	concurrent_publishers	snapshot_bytes	publications	publisher_publications_per_second	publisher_commit_p50_ns	publisher_commit_p95_ns	publisher_commit_p99_ns
mmap_file	1	128	500	507764	1430	3183	12387
mmap_tmpfs	1	128	500	438253	1702	3829	14301
unix_socket	1	128	500	93469	9493	16827	25390
mmap_file	8	128	4000	180640	1901	26142	58859
mmap_tmpfs	8	128	4000	196855	2154	24228	45731
unix_socket	8	128	4000	110135	8831	10328	22368
mmap_file	1	4096	100	112500	7018	18987	25197
mmap_tmpfs	1	4096	100	83105	10519	21708	36226
unix_socket	1	4096	100	31471	27164	70198	85701
mmap_file	8	4096	800	5957	54878	577265	1109804
mmap_tmpfs	8	4096	800	5948	41174	588740	1621367
unix_socket	8	4096	800	22201	26634	67928	291420
mmap_file	1	65536	20	5653	162349	258431	258431
mmap_tmpfs	1	65536	20	7644	109728	275375	275375
unix_socket	1	65536	20	14272	62246	93353	93353
mmap_file	8	65536	160	347	2938063	4739897	5459984
mmap_tmpfs	8	65536	160	547	1652578	4277698	4745086
unix_socket	8	65536	160	8185	62785	156272	1176589
