case	assertion	expected	actual	result
benchmark_matrix	ingestion_shapes	3	3	pass
benchmark_matrix	cardinality_shapes	4	4	pass
benchmark_matrix	concurrency_shapes	4	4	pass
benchmark_matrix	file_detection_modes	3	3	pass
startup	iterations	10	10	pass
idle	samples	10	10	pass
replacement	complete_series	100	100	pass
replacement	one_generation	1	1	pass
concurrent_scrape_10	all_success	0	0	pass
queue_overflow	rejected	true	true	pass
failure_injection	malformed_400	400	400	pass
failure_injection	last_valid_retained	true	true	pass
shutdown	in_flight_completed	0	0	pass
final_scrape	health_not_counted	true	true	pass
final_scrape	complete_response_exits	0	0	pass
final_scrape	count_one	true	true	pass
aborted_final_scrape	still_waiting	true	true	pass
aborted_final_scrape	later_complete_exits	0	0	pass
final_timeout	exit	0	0	pass
final_timeout	zero_scrapes	true	true	pass
failure_injection	bind_exit	70	70	pass
resource_exhaustion	oom	true	true	pass
resource_exhaustion	exit_137	137	137	pass
