iteration	duration_ms	exit_code	result
1	660.293	0	pass
2	227.807	0	pass
3	263.976	0	pass
4	287.980	0	pass
5	325.066	0	pass
6	267.596	0	pass
7	392.271	0	pass
8	323.805	0	pass
9	376.552	0	pass
10	346.603	0	pass
11	350.794	0	pass
12	234.556	0	pass
13	235.509	0	pass
14	290.101	0	pass
15	261.249	0	pass
16	287.078	0	pass
17	266.138	0	pass
18	243.689	0	pass
19	273.348	0	pass
20	223.929	0	pass
21	222.859	0	pass
22	263.404	0	pass
23	410.242	0	pass
24	243.460	0	pass
25	340.713	0	pass
26	324.275	0	pass
27	285.287	0	pass
28	256.798	0	pass
29	298.185	0	pass
30	303.805	0	pass
