external_timeout_ms	internal_total_grace_ms	shutdown_complete_elapsed_ms	docker_stop_elapsed_ms	safety_margin_ms	container_exit	shutdown_complete_count	docker_oom_killed	result
1000	750	525.371	2232	474,629	137	1	false	pass
5000	4000	3523.575	4857	1476,425	137	1	false	pass
