transport	payload_bytes	batch	producers	requests_per_producer	accepted	errors	duration_ms	throughput_records_s	p50_ms	p95_ms	p99_ms
unix	64	1	1	300	300	0	1.197	250582.8	0.002	0.005	0.019
http	64	1	1	300	300	0	12.347	24295.8	0.023	0.131	0.368
grpc	64	1	1	300	300	0	24.078	12459.3	0.029	0.288	0.840
unix	64	1	8	300	2400	0	14.660	163701.0	0.025	0.153	0.266
http	64	1	8	300	2400	0	62.695	38280.3	0.073	0.751	2.597
grpc	64	1	8	300	2400	0	53.413	44932.6	0.070	0.844	1.673
unix	64	16	1	300	4800	0	1.521	3155731.4	0.003	0.004	0.011
http	64	16	1	300	4800	0	17.405	275778.9	0.029	0.160	0.525
grpc	64	16	1	300	4800	0	19.916	241010.2	0.029	0.216	0.372
unix	64	16	8	300	38400	0	13.904	2761662.9	0.021	0.106	0.391
http	64	16	8	300	38400	0	57.376	669261.6	0.078	0.957	1.957
grpc	64	16	8	300	38400	0	42.876	895604.2	0.061	0.651	1.813
unix	1024	1	1	300	300	0	1.245	240826.9	0.002	0.005	0.028
http	1024	1	1	300	300	0	11.200	26785.6	0.025	0.057	0.106
grpc	1024	1	1	300	300	0	12.156	24679.2	0.022	0.077	0.157
unix	1024	1	8	300	2400	0	10.435	229989.7	0.022	0.085	0.170
http	1024	1	8	300	2400	0	44.883	53471.6	0.070	0.673	1.849
grpc	1024	1	8	300	2400	0	40.743	58905.3	0.059	0.630	1.607
unix	1024	16	1	300	4800	0	3.400	1411453.4	0.007	0.019	0.078
http	1024	16	1	300	4800	0	62.720	76529.7	0.144	0.500	1.422
grpc	1024	16	1	300	4800	0	18.993	252720.2	0.033	0.104	0.418
unix	1024	16	8	300	38400	0	23.544	1630939.7	0.029	0.245	0.959
http	1024	16	8	300	38400	0	431.110	89072.2	1.357	3.246	4.153
grpc	1024	16	8	300	38400	0	60.533	634354.7	0.080	1.046	1.998
unix	16384	1	1	100	100	0	1.837	54430.4	0.005	0.019	0.096
http	16384	1	1	100	100	0	18.332	5454.9	0.133	0.344	1.106
grpc	16384	1	1	100	100	0	6.395	15636.1	0.036	0.120	0.309
unix	16384	1	8	100	800	0	6.905	115843.4	0.027	0.309	0.549
http	16384	1	8	100	800	0	134.426	5951.2	1.220	2.991	4.160
grpc	16384	1	8	100	800	0	23.806	33604.8	0.078	0.972	2.667
unix	16384	16	1	100	1600	0	10.798	148168.2	0.053	0.264	0.884
http	16384	16	1	100	1600	0	223.055	7173.1	1.966	3.549	4.045
grpc	16384	16	1	100	1600	0	30.568	52341.4	0.164	1.211	2.072
unix	16384	16	8	100	12800	0	47.310	270551.1	0.286	1.268	1.653
http	16384	16	8	100	12800	0	497.269	25740.6	4.213	9.226	11.866
grpc	16384	16	8	100	12800	0	60.179	212697.2	0.339	1.623	3.468
